factor,chance,n,n_classes,before,after,after_null_mean,after_p,representation
modality,0.25,1604,4,0.7204781893797023,0.7161199101455454,0.2528995849102743,0.0,handcrafted
orientation,0.1111111111111111,1634,9,0.80241728151838,0.7907616164676907,0.1259417417102061,0.0,handcrafted
voxel spacing,0.3333333333333333,1634,3,0.9450620859009404,0.9346027730685595,0.3303579288254106,0.0,handcrafted
template space,0.25,1634,4,0.9390082604563533,0.9270813641144924,0.25323544837062384,0.0,handcrafted
intensity scale,0.3333333333333333,1634,3,0.8156247202151757,0.7308864600737068,0.3433280276263531,0.0,handcrafted
bias field,0.3333333333333333,1634,3,0.8509285515707534,0.8485214015795055,0.33282583893031875,0.0,handcrafted
motion/ghosting (EFC),0.3333333333333333,1634,3,0.9006479564922163,0.8844728980290222,0.33324540187111223,0.0,handcrafted
dataset,0.058823529411764705,1634,17,0.9005345666694773,0.890282465829141,0.057968668187281844,0.0,handcrafted
modality,0.25,1604,4,0.8516573776343449,0.7638245437108674,0.2531873189075044,0.0,untrained
orientation,0.1111111111111111,1634,9,0.8335798257161672,0.7669110824120836,0.10691215289672562,0.0,untrained
voxel spacing,0.3333333333333333,1634,3,0.8982787354973899,0.8205631028555018,0.33750647221385927,0.0,untrained
template space,0.25,1634,4,0.9510729716856243,0.9140262331631757,0.24439834349461473,0.0,untrained
intensity scale,0.3333333333333333,1634,3,0.725726511658183,0.6539555755618552,0.33947570073722544,0.0,untrained
bias field,0.3333333333333333,1634,3,0.8992846919758234,0.8032058608511209,0.3365515756322762,0.0,untrained
motion/ghosting (EFC),0.3333333333333333,1634,3,0.9461132372229271,0.7871104773775065,0.33836777447258065,0.0,untrained
dataset,0.058823529411764705,1634,17,0.9154724639763003,0.8684957535596922,0.057661888101089985,0.0,untrained
modality,0.25,1604,4,0.8346280433880263,0.7027288672786548,0.24889952416834152,0.0,medical
orientation,0.1111111111111111,1634,9,0.8217697976084413,0.7288632509074485,0.10624915131591932,0.0,medical
voxel spacing,0.3333333333333333,1634,3,0.8670529500811334,0.7250134405778492,0.34025959892737245,0.0,medical
template space,0.25,1634,4,0.9419205516813138,0.8587219638865686,0.2557196662012261,0.0,medical
intensity scale,0.3333333333333333,1634,3,0.7422632200815873,0.6694346220467915,0.33556262950908733,0.0,medical
bias field,0.3333333333333333,1634,3,0.9046541871312513,0.8074915310083506,0.3364895510788455,0.0,medical
motion/ghosting (EFC),0.3333333333333333,1634,3,0.9809505184081455,0.8587180600020383,0.3272775675636634,0.0,medical
dataset,0.058823529411764705,1634,17,0.9019836182336183,0.8304274350022431,0.06088090354300674,0.0,medical
modality,0.25,1604,4,0.7932984928031914,0.6865994516052843,0.2417456510612385,0.0,selfsup
orientation,0.1111111111111111,1634,9,0.7831203914788282,0.7146188814490568,0.1098570123348259,0.0,selfsup
voxel spacing,0.3333333333333333,1634,3,0.8614262766138789,0.8003089518285404,0.3354676057809888,0.0,selfsup
template space,0.25,1634,4,0.9427485373740232,0.9379209253982046,0.2592713639654546,0.0,selfsup
intensity scale,0.3333333333333333,1634,3,0.6742262192499862,0.6560025807403072,0.33132506845096266,0.0,selfsup
bias field,0.3333333333333333,1634,3,0.8893690215096942,0.835033103718119,0.33599761151017127,0.0,selfsup
motion/ghosting (EFC),0.3333333333333333,1634,3,0.9270686755592417,0.8648153757907515,0.33942214208075894,0.0,selfsup
dataset,0.058823529411764705,1634,17,0.8729069301447817,0.8246161418859629,0.062479766062115236,0.0,selfsup
