dataset,n_modalities,condition,accuracy,representation
3D-MR-MS,4,before,0.325,handcrafted
3D-MR-MS,4,after,0.4666666666666667,handcrafted
3D-MR-MS,4,random,0.4666666666666667,handcrafted
BGSP,1,before,1.0,handcrafted
BGSP,1,after,0.7178423236514523,handcrafted
BGSP,1,random,0.9004149377593361,handcrafted
BraTS25-MEN,4,before,0.6333333333333333,handcrafted
BraTS25-MEN,4,after,0.6,handcrafted
BraTS25-MEN,4,random,0.56,handcrafted
BraTS25-MET,4,before,0.5066666666666667,handcrafted
BraTS25-MET,4,after,0.5266666666666666,handcrafted
BraTS25-MET,4,random,0.4533333333333333,handcrafted
BraTS25-SSA,4,before,0.5566666666666666,handcrafted
BraTS25-SSA,4,after,0.6166666666666667,handcrafted
BraTS25-SSA,4,random,0.6266666666666667,handcrafted
BrainMetShare,3,before,0.36333333333333334,handcrafted
BrainMetShare,3,after,0.2833333333333333,handcrafted
BrainMetShare,3,random,0.3233333333333333,handcrafted
EPISURG,1,before,0.3566666666666667,handcrafted
EPISURG,1,after,0.55,handcrafted
EPISURG,1,random,0.30333333333333334,handcrafted
ISLES22,1,before,0.084,handcrafted
ISLES22,1,after,0.58,handcrafted
ISLES22,1,random,0.544,handcrafted
IXI,2,before,0.625,handcrafted
IXI,2,after,0.55,handcrafted
IXI,2,random,0.5,handcrafted
MS-60,3,before,0.20555555555555555,handcrafted
MS-60,3,after,0.45555555555555555,handcrafted
MS-60,3,random,0.24444444444444444,handcrafted
MSLesSeg,3,before,0.47,handcrafted
MSLesSeg,3,after,0.2,handcrafted
MSLesSeg,3,random,0.5333333333333333,handcrafted
NFBS,1,before,0.0,handcrafted
NFBS,1,after,0.0,handcrafted
NFBS,1,random,0.0,handcrafted
NSK-GBM,4,before,0.25,handcrafted
NSK-GBM,4,after,0.125,handcrafted
NSK-GBM,4,random,0.0,handcrafted
OASIS-1,1,before,0.19333333333333333,handcrafted
OASIS-1,1,after,0.04666666666666667,handcrafted
OASIS-1,1,random,0.62,handcrafted
OASIS-2,1,before,1.0,handcrafted
OASIS-2,1,after,0.45182724252491696,handcrafted
OASIS-2,1,random,0.9069767441860465,handcrafted
UMF-PD,1,before,0.5975609756097561,handcrafted
UMF-PD,1,after,1.0,handcrafted
UMF-PD,1,random,0.2926829268292683,handcrafted
UPENN-GBM,4,before,0.37,handcrafted
UPENN-GBM,4,after,0.36333333333333334,handcrafted
UPENN-GBM,4,random,0.35333333333333333,handcrafted
3D-MR-MS,4,before,0.375,untrained
3D-MR-MS,4,after,0.45,untrained
3D-MR-MS,4,random,0.3,untrained
BGSP,1,before,0.8879668049792531,untrained
BGSP,1,after,0.5643153526970954,untrained
BGSP,1,random,0.3360995850622407,untrained
BraTS25-MEN,4,before,0.62,untrained
BraTS25-MEN,4,after,0.59,untrained
BraTS25-MEN,4,random,0.6133333333333333,untrained
BraTS25-MET,4,before,0.7033333333333334,untrained
BraTS25-MET,4,after,0.6166666666666667,untrained
BraTS25-MET,4,random,0.6066666666666667,untrained
BraTS25-SSA,4,before,0.5266666666666666,untrained
BraTS25-SSA,4,after,0.39,untrained
BraTS25-SSA,4,random,0.5433333333333333,untrained
BrainMetShare,3,before,0.48333333333333334,untrained
BrainMetShare,3,after,0.2833333333333333,untrained
BrainMetShare,3,random,0.43333333333333335,untrained
EPISURG,1,before,0.97,untrained
EPISURG,1,after,0.8566666666666667,untrained
EPISURG,1,random,0.49,untrained
ISLES22,1,before,0.432,untrained
ISLES22,1,after,0.456,untrained
ISLES22,1,random,0.416,untrained
IXI,2,before,0.52,untrained
IXI,2,after,0.36,untrained
IXI,2,random,0.785,untrained
MS-60,3,before,0.31666666666666665,untrained
MS-60,3,after,0.2777777777777778,untrained
MS-60,3,random,0.18888888888888888,untrained
MSLesSeg,3,before,0.5866666666666667,untrained
MSLesSeg,3,after,0.49666666666666665,untrained
MSLesSeg,3,random,0.8266666666666667,untrained
NFBS,1,before,0.0,untrained
NFBS,1,after,0.024,untrained
NFBS,1,random,0.0,untrained
NSK-GBM,4,before,0.19047619047619047,untrained
NSK-GBM,4,after,0.3630952380952381,untrained
NSK-GBM,4,random,0.35119047619047616,untrained
OASIS-1,1,before,0.95,untrained
OASIS-1,1,after,0.5866666666666667,untrained
OASIS-1,1,random,0.35,untrained
OASIS-2,1,before,0.5415282392026578,untrained
OASIS-2,1,after,0.7043189368770764,untrained
OASIS-2,1,random,0.4119601328903654,untrained
UMF-PD,1,before,0.9390243902439024,untrained
UMF-PD,1,after,0.8536585365853658,untrained
UMF-PD,1,random,0.8414634146341463,untrained
UPENN-GBM,4,before,0.37,untrained
UPENN-GBM,4,after,0.25333333333333335,untrained
UPENN-GBM,4,random,0.42333333333333334,untrained
3D-MR-MS,4,before,0.25833333333333336,medical
3D-MR-MS,4,after,0.5583333333333333,medical
3D-MR-MS,4,random,0.5083333333333333,medical
BGSP,1,before,0.991701244813278,medical
BGSP,1,after,0.36929460580912865,medical
BGSP,1,random,0.7302904564315352,medical
BraTS25-MEN,4,before,0.66,medical
BraTS25-MEN,4,after,0.59,medical
BraTS25-MEN,4,random,0.51,medical
BraTS25-MET,4,before,0.65,medical
BraTS25-MET,4,after,0.48333333333333334,medical
BraTS25-MET,4,random,0.5,medical
BraTS25-SSA,4,before,0.5133333333333333,medical
BraTS25-SSA,4,after,0.4666666666666667,medical
BraTS25-SSA,4,random,0.4,medical
BrainMetShare,3,before,0.42,medical
BrainMetShare,3,after,0.31,medical
BrainMetShare,3,random,0.33,medical
EPISURG,1,before,0.47333333333333333,medical
EPISURG,1,after,0.6333333333333333,medical
EPISURG,1,random,0.38,medical
ISLES22,1,before,0.78,medical
ISLES22,1,after,0.536,medical
ISLES22,1,random,0.772,medical
IXI,2,before,0.9,medical
IXI,2,after,0.455,medical
IXI,2,random,0.54,medical
MS-60,3,before,0.25555555555555554,medical
MS-60,3,after,0.2722222222222222,medical
MS-60,3,random,0.34444444444444444,medical
MSLesSeg,3,before,0.5466666666666666,medical
MSLesSeg,3,after,0.41,medical
MSLesSeg,3,random,0.5666666666666667,medical
NFBS,1,before,0.024,medical
NFBS,1,after,0.096,medical
NFBS,1,random,0.304,medical
NSK-GBM,4,before,0.30357142857142855,medical
NSK-GBM,4,after,0.40476190476190477,medical
NSK-GBM,4,random,0.21428571428571427,medical
OASIS-1,1,before,0.16666666666666666,medical
OASIS-1,1,after,0.5133333333333333,medical
OASIS-1,1,random,0.3333333333333333,medical
OASIS-2,1,before,0.8970099667774086,medical
OASIS-2,1,after,0.33554817275747506,medical
OASIS-2,1,random,0.26245847176079734,medical
UMF-PD,1,before,0.8414634146341463,medical
UMF-PD,1,after,0.7804878048780488,medical
UMF-PD,1,random,0.5975609756097561,medical
UPENN-GBM,4,before,0.38333333333333336,medical
UPENN-GBM,4,after,0.2633333333333333,medical
UPENN-GBM,4,random,0.26,medical
3D-MR-MS,4,before,0.425,selfsup
3D-MR-MS,4,after,0.25833333333333336,selfsup
3D-MR-MS,4,random,0.4,selfsup
BGSP,1,before,0.8589211618257261,selfsup
BGSP,1,after,0.17842323651452283,selfsup
BGSP,1,random,0.4190871369294606,selfsup
BraTS25-MEN,4,before,0.63,selfsup
BraTS25-MEN,4,after,0.48333333333333334,selfsup
BraTS25-MEN,4,random,0.53,selfsup
BraTS25-MET,4,before,0.6733333333333333,selfsup
BraTS25-MET,4,after,0.5966666666666667,selfsup
BraTS25-MET,4,random,0.56,selfsup
BraTS25-SSA,4,before,0.6166666666666667,selfsup
BraTS25-SSA,4,after,0.49333333333333335,selfsup
BraTS25-SSA,4,random,0.51,selfsup
BrainMetShare,3,before,0.31666666666666665,selfsup
BrainMetShare,3,after,0.26666666666666666,selfsup
BrainMetShare,3,random,0.37666666666666665,selfsup
EPISURG,1,before,0.7166666666666667,selfsup
EPISURG,1,after,0.4633333333333333,selfsup
EPISURG,1,random,0.41333333333333333,selfsup
ISLES22,1,before,0.612,selfsup
ISLES22,1,after,0.392,selfsup
ISLES22,1,random,0.52,selfsup
IXI,2,before,0.71,selfsup
IXI,2,after,0.255,selfsup
IXI,2,random,0.595,selfsup
MS-60,3,before,0.2833333333333333,selfsup
MS-60,3,after,0.4,selfsup
MS-60,3,random,0.16666666666666666,selfsup
MSLesSeg,3,before,0.4,selfsup
MSLesSeg,3,after,0.3333333333333333,selfsup
MSLesSeg,3,random,0.25666666666666665,selfsup
NFBS,1,before,0.04,selfsup
NFBS,1,after,0.0,selfsup
NFBS,1,random,0.128,selfsup
NSK-GBM,4,before,0.19642857142857142,selfsup
NSK-GBM,4,after,0.20833333333333334,selfsup
NSK-GBM,4,random,0.08928571428571429,selfsup
OASIS-1,1,before,0.38,selfsup
OASIS-1,1,after,0.06333333333333334,selfsup
OASIS-1,1,random,0.5533333333333333,selfsup
OASIS-2,1,before,0.9302325581395349,selfsup
OASIS-2,1,after,0.23588039867109634,selfsup
OASIS-2,1,random,0.6112956810631229,selfsup
UMF-PD,1,before,0.5975609756097561,selfsup
UMF-PD,1,after,0.5,selfsup
UMF-PD,1,random,0.5121951219512195,selfsup
UPENN-GBM,4,before,0.41,selfsup
UPENN-GBM,4,after,0.27,selfsup
UPENN-GBM,4,random,0.4033333333333333,selfsup
