dataset,n,age_n,sex_n,age_mean,age_sd,age_min,age_max,female_frac
3D-MR-MS,120,120,120,39.266666666666666,9.994732506232891,25.0,64.0,0.7666666666666667
BGSP,241,0,0,,,,,
BraTS25-MEN,300,0,0,,,,,
BraTS25-MET,300,0,0,,,,,
BraTS25-SSA,300,0,0,,,,,
BrainMetShare,300,0,0,,,,,
EPISURG,300,0,0,,,,,
ISLES22,250,125,144,72.312,13.000258061954744,32.0,97.0,0.5555555555555556
IXI,300,294,294,49.269387755102045,15.751700107580989,20.0,75.9,0.6122448979591837
MS-60,180,180,177,32.65,12.062442288627974,15.0,56.0,0.7796610169491526
MSLesSeg,300,300,300,35.9454,9.786980234664433,18.0,61.39,0.6
NFBS,125,0,0,,,,,
NSK-GBM,168,168,168,53.45238095238095,14.189820726887003,22.0,76.0,0.5476190476190477
OASIS-1,300,300,300,51.263333333333335,25.38217560316798,18.0,96.0,0.5866666666666667
OASIS-2,301,301,301,77.6843853820598,7.658767657897204,60.0,98.0,0.5614617940199336
UMF-PD,82,82,82,66.57317073170732,8.68805123527636,45.0,86.0,0.4634146341463415
UPENN-GBM,300,300,300,61.495466666666665,11.74089890678535,25.7,86.21,0.4666666666666667
