factor,chance,n,n_classes,before,after,after_null_mean,after_p,representation
modality,0.25,1604,4,0.7204781893797023,0.5188479415214451,0.25058976428387847,0.0,handcrafted
orientation,0.1111111111111111,1634,9,0.80241728151838,0.36343707975761935,0.11365044843018209,0.0,handcrafted
voxel spacing,0.3333333333333333,1634,3,0.9450620859009404,0.7708503316053995,0.3377096562458547,0.0,handcrafted
template space,0.25,1634,4,0.9390082604563533,0.43169953159097335,0.2520385088338021,0.0,handcrafted
intensity scale,0.3333333333333333,1634,3,0.8156247202151757,0.51266478294018,0.33486481924598654,0.0,handcrafted
bias field,0.3333333333333333,1634,3,0.8509285515707534,0.5351827139900533,0.3369971054173608,0.0,handcrafted
motion/ghosting (EFC),0.3333333333333333,1634,3,0.9006479564922163,0.561912889548003,0.34203508175477215,0.0,handcrafted
dataset,0.058823529411764705,1634,17,0.9005345666694773,0.20744426384451958,0.060543485193327216,0.0,handcrafted
modality,0.25,1604,4,0.8516573776343449,0.6065962757641068,0.2625111798456177,0.0,untrained
orientation,0.1111111111111111,1634,9,0.8335798257161672,0.4135245831295162,0.11602391591103742,0.0,untrained
voxel spacing,0.3333333333333333,1634,3,0.8982787354973899,0.6032418264483457,0.3398207428934835,0.0,untrained
template space,0.25,1634,4,0.9510729716856243,0.5779932272189049,0.25339075472443645,0.0,untrained
intensity scale,0.3333333333333333,1634,3,0.725726511658183,0.47283367297524653,0.3386127920274296,0.0,untrained
bias field,0.3333333333333333,1634,3,0.8992846919758234,0.6188346255624543,0.33514882549375696,0.0,untrained
motion/ghosting (EFC),0.3333333333333333,1634,3,0.9461132372229271,0.6382678943839801,0.33869918109405256,0.0,untrained
dataset,0.058823529411764705,1634,17,0.9154724639763003,0.3073694332805586,0.061051258736492676,0.0,untrained
modality,0.25,1604,4,0.8346280433880263,0.570577596590272,0.2440851257112891,0.0,medical
orientation,0.1111111111111111,1634,9,0.8217697976084413,0.3169794873848873,0.10801540779997457,0.0,medical
voxel spacing,0.3333333333333333,1634,3,0.8670529500811334,0.5464447870958431,0.33099290723587205,0.0,medical
template space,0.25,1634,4,0.9419205516813138,0.4276780285816065,0.2388123839849825,0.0,medical
intensity scale,0.3333333333333333,1634,3,0.7422632200815873,0.4612640530075006,0.3359450907444491,0.0,medical
bias field,0.3333333333333333,1634,3,0.9046541871312513,0.5643015269926586,0.3333643911874751,0.0,medical
motion/ghosting (EFC),0.3333333333333333,1634,3,0.9809505184081455,0.7176911870420026,0.32806678510545667,0.0,medical
dataset,0.058823529411764705,1634,17,0.9019836182336183,0.22424956957885347,0.0589188392774597,0.0,medical
modality,0.25,1604,4,0.7932984928031914,0.5741270126805128,0.2566650075723381,0.0,selfsup
orientation,0.1111111111111111,1634,9,0.7831203914788282,0.3052689055609225,0.1066779866379586,0.0,selfsup
voxel spacing,0.3333333333333333,1634,3,0.8614262766138789,0.5311493547451447,0.3456780207351555,0.0,selfsup
template space,0.25,1634,4,0.9427485373740232,0.37771278040068074,0.24781805549280905,0.0,selfsup
intensity scale,0.3333333333333333,1634,3,0.6742262192499862,0.4629430171064878,0.33176853554556585,0.0,selfsup
bias field,0.3333333333333333,1634,3,0.8893690215096942,0.5617383828087192,0.33307477160361904,0.0,selfsup
motion/ghosting (EFC),0.3333333333333333,1634,3,0.9270686755592417,0.5731367314418162,0.3330543720339053,0.0,selfsup
dataset,0.058823529411764705,1634,17,0.8729069301447817,0.25373237459234904,0.06016895127828632,0.0,selfsup
