dataset,n_modalities,condition,accuracy,representation
3D-MR-MS,4,before,0.325,handcrafted
3D-MR-MS,4,after,0.39166666666666666,handcrafted
3D-MR-MS,4,random,0.25,handcrafted
BGSP,1,before,1.0,handcrafted
BGSP,1,after,0.24896265560165975,handcrafted
BGSP,1,random,0.1078838174273859,handcrafted
BraTS25-MEN,4,before,0.6333333333333333,handcrafted
BraTS25-MEN,4,after,0.5433333333333333,handcrafted
BraTS25-MEN,4,random,0.2833333333333333,handcrafted
BraTS25-MET,4,before,0.5066666666666667,handcrafted
BraTS25-MET,4,after,0.47333333333333333,handcrafted
BraTS25-MET,4,random,0.25,handcrafted
BraTS25-SSA,4,before,0.5566666666666666,handcrafted
BraTS25-SSA,4,after,0.6733333333333333,handcrafted
BraTS25-SSA,4,random,0.3466666666666667,handcrafted
BrainMetShare,3,before,0.36333333333333334,handcrafted
BrainMetShare,3,after,0.22666666666666666,handcrafted
BrainMetShare,3,random,0.19666666666666666,handcrafted
EPISURG,1,before,0.3566666666666667,handcrafted
EPISURG,1,after,0.31,handcrafted
EPISURG,1,random,0.0,handcrafted
ISLES22,1,before,0.084,handcrafted
ISLES22,1,after,0.224,handcrafted
ISLES22,1,random,0.08,handcrafted
IXI,2,before,0.625,handcrafted
IXI,2,after,0.255,handcrafted
IXI,2,random,0.5,handcrafted
MS-60,3,before,0.20555555555555555,handcrafted
MS-60,3,after,0.35555555555555557,handcrafted
MS-60,3,random,0.4388888888888889,handcrafted
MSLesSeg,3,before,0.47,handcrafted
MSLesSeg,3,after,0.3,handcrafted
MSLesSeg,3,random,0.22,handcrafted
NFBS,1,before,0.0,handcrafted
NFBS,1,after,0.648,handcrafted
NFBS,1,random,0.0,handcrafted
NSK-GBM,4,before,0.25,handcrafted
NSK-GBM,4,after,0.16071428571428573,handcrafted
NSK-GBM,4,random,0.11904761904761904,handcrafted
OASIS-1,1,before,0.19333333333333333,handcrafted
OASIS-1,1,after,0.19,handcrafted
OASIS-1,1,random,1.0,handcrafted
OASIS-2,1,before,1.0,handcrafted
OASIS-2,1,after,0.2159468438538206,handcrafted
OASIS-2,1,random,0.8006644518272426,handcrafted
UMF-PD,1,before,0.5975609756097561,handcrafted
UMF-PD,1,after,0.47560975609756095,handcrafted
UMF-PD,1,random,0.4268292682926829,handcrafted
UPENN-GBM,4,before,0.37,handcrafted
UPENN-GBM,4,after,0.24333333333333335,handcrafted
UPENN-GBM,4,random,0.25,handcrafted
3D-MR-MS,4,before,0.375,untrained
3D-MR-MS,4,after,0.3416666666666667,untrained
3D-MR-MS,4,random,0.26666666666666666,untrained
BGSP,1,before,0.8879668049792531,untrained
BGSP,1,after,0.4149377593360996,untrained
BGSP,1,random,0.0,untrained
BraTS25-MEN,4,before,0.62,untrained
BraTS25-MEN,4,after,0.6333333333333333,untrained
BraTS25-MEN,4,random,0.30333333333333334,untrained
BraTS25-MET,4,before,0.7033333333333334,untrained
BraTS25-MET,4,after,0.62,untrained
BraTS25-MET,4,random,0.4,untrained
BraTS25-SSA,4,before,0.5266666666666666,untrained
BraTS25-SSA,4,after,0.5633333333333334,untrained
BraTS25-SSA,4,random,0.43,untrained
BrainMetShare,3,before,0.48333333333333334,untrained
BrainMetShare,3,after,0.23333333333333334,untrained
BrainMetShare,3,random,0.25,untrained
EPISURG,1,before,0.97,untrained
EPISURG,1,after,0.3466666666666667,untrained
EPISURG,1,random,0.10666666666666667,untrained
ISLES22,1,before,0.432,untrained
ISLES22,1,after,0.196,untrained
ISLES22,1,random,0.172,untrained
IXI,2,before,0.52,untrained
IXI,2,after,0.4,untrained
IXI,2,random,0.225,untrained
MS-60,3,before,0.31666666666666665,untrained
MS-60,3,after,0.3055555555555556,untrained
MS-60,3,random,0.13333333333333333,untrained
MSLesSeg,3,before,0.5866666666666667,untrained
MSLesSeg,3,after,0.34,untrained
MSLesSeg,3,random,0.27666666666666667,untrained
NFBS,1,before,0.0,untrained
NFBS,1,after,0.648,untrained
NFBS,1,random,0.0,untrained
NSK-GBM,4,before,0.19047619047619047,untrained
NSK-GBM,4,after,0.31547619047619047,untrained
NSK-GBM,4,random,0.25,untrained
OASIS-1,1,before,0.95,untrained
OASIS-1,1,after,0.3333333333333333,untrained
OASIS-1,1,random,0.43333333333333335,untrained
OASIS-2,1,before,0.5415282392026578,untrained
OASIS-2,1,after,0.2691029900332226,untrained
OASIS-2,1,random,0.04983388704318937,untrained
UMF-PD,1,before,0.9390243902439024,untrained
UMF-PD,1,after,0.4878048780487805,untrained
UMF-PD,1,random,0.6219512195121951,untrained
UPENN-GBM,4,before,0.37,untrained
UPENN-GBM,4,after,0.26,untrained
UPENN-GBM,4,random,0.26666666666666666,untrained
3D-MR-MS,4,before,0.25833333333333336,medical
3D-MR-MS,4,after,0.375,medical
3D-MR-MS,4,random,0.3333333333333333,medical
BGSP,1,before,0.991701244813278,medical
BGSP,1,after,0.34854771784232363,medical
BGSP,1,random,0.0,medical
BraTS25-MEN,4,before,0.66,medical
BraTS25-MEN,4,after,0.5866666666666667,medical
BraTS25-MEN,4,random,0.26,medical
BraTS25-MET,4,before,0.65,medical
BraTS25-MET,4,after,0.51,medical
BraTS25-MET,4,random,0.41333333333333333,medical
BraTS25-SSA,4,before,0.5133333333333333,medical
BraTS25-SSA,4,after,0.49666666666666665,medical
BraTS25-SSA,4,random,0.38,medical
BrainMetShare,3,before,0.42,medical
BrainMetShare,3,after,0.44333333333333336,medical
BrainMetShare,3,random,0.18,medical
EPISURG,1,before,0.47333333333333333,medical
EPISURG,1,after,0.32666666666666666,medical
EPISURG,1,random,0.006666666666666667,medical
ISLES22,1,before,0.78,medical
ISLES22,1,after,0.196,medical
ISLES22,1,random,0.176,medical
IXI,2,before,0.9,medical
IXI,2,after,0.525,medical
IXI,2,random,0.255,medical
MS-60,3,before,0.25555555555555554,medical
MS-60,3,after,0.19444444444444445,medical
MS-60,3,random,0.32222222222222224,medical
MSLesSeg,3,before,0.5466666666666666,medical
MSLesSeg,3,after,0.39666666666666667,medical
MSLesSeg,3,random,0.33,medical
NFBS,1,before,0.024,medical
NFBS,1,after,0.624,medical
NFBS,1,random,0.08,medical
NSK-GBM,4,before,0.30357142857142855,medical
NSK-GBM,4,after,0.40476190476190477,medical
NSK-GBM,4,random,0.17857142857142858,medical
OASIS-1,1,before,0.16666666666666666,medical
OASIS-1,1,after,0.34,medical
OASIS-1,1,random,0.6566666666666666,medical
OASIS-2,1,before,0.8970099667774086,medical
OASIS-2,1,after,0.3787375415282392,medical
OASIS-2,1,random,0.9966777408637874,medical
UMF-PD,1,before,0.8414634146341463,medical
UMF-PD,1,after,0.4146341463414634,medical
UMF-PD,1,random,0.0975609756097561,medical
UPENN-GBM,4,before,0.38333333333333336,medical
UPENN-GBM,4,after,0.38,medical
UPENN-GBM,4,random,0.28,medical
3D-MR-MS,4,before,0.425,selfsup
3D-MR-MS,4,after,0.4083333333333333,selfsup
3D-MR-MS,4,random,0.2833333333333333,selfsup
BGSP,1,before,0.8589211618257261,selfsup
BGSP,1,after,0.26141078838174275,selfsup
BGSP,1,random,0.14937759336099585,selfsup
BraTS25-MEN,4,before,0.63,selfsup
BraTS25-MEN,4,after,0.6766666666666666,selfsup
BraTS25-MEN,4,random,0.44666666666666666,selfsup
BraTS25-MET,4,before,0.6733333333333333,selfsup
BraTS25-MET,4,after,0.6133333333333333,selfsup
BraTS25-MET,4,random,0.4033333333333333,selfsup
BraTS25-SSA,4,before,0.6166666666666667,selfsup
BraTS25-SSA,4,after,0.6066666666666667,selfsup
BraTS25-SSA,4,random,0.41333333333333333,selfsup
BrainMetShare,3,before,0.31666666666666665,selfsup
BrainMetShare,3,after,0.44333333333333336,selfsup
BrainMetShare,3,random,0.09333333333333334,selfsup
EPISURG,1,before,0.7166666666666667,selfsup
EPISURG,1,after,0.24666666666666667,selfsup
EPISURG,1,random,0.06333333333333334,selfsup
ISLES22,1,before,0.612,selfsup
ISLES22,1,after,0.208,selfsup
ISLES22,1,random,0.196,selfsup
IXI,2,before,0.71,selfsup
IXI,2,after,0.305,selfsup
IXI,2,random,0.285,selfsup
MS-60,3,before,0.2833333333333333,selfsup
MS-60,3,after,0.2111111111111111,selfsup
MS-60,3,random,0.22777777777777777,selfsup
MSLesSeg,3,before,0.4,selfsup
MSLesSeg,3,after,0.45,selfsup
MSLesSeg,3,random,0.29,selfsup
NFBS,1,before,0.04,selfsup
NFBS,1,after,0.632,selfsup
NFBS,1,random,0.008,selfsup
NSK-GBM,4,before,0.19642857142857142,selfsup
NSK-GBM,4,after,0.34523809523809523,selfsup
NSK-GBM,4,random,0.27380952380952384,selfsup
OASIS-1,1,before,0.38,selfsup
OASIS-1,1,after,0.39666666666666667,selfsup
OASIS-1,1,random,0.32,selfsup
OASIS-2,1,before,0.9302325581395349,selfsup
OASIS-2,1,after,0.2059800664451827,selfsup
OASIS-2,1,random,0.08637873754152824,selfsup
UMF-PD,1,before,0.5975609756097561,selfsup
UMF-PD,1,after,0.4146341463414634,selfsup
UMF-PD,1,random,0.1951219512195122,selfsup
UPENN-GBM,4,before,0.41,selfsup
UPENN-GBM,4,after,0.38666666666666666,selfsup
UPENN-GBM,4,random,0.35,selfsup
