dataset,domain,volumes,patients,modalities,median_spacing_mm,pct_anisotropic,pct_highly_aniso
EPISURG,epilepsy,300,180,T1,0.94x0.94x1.10,97.7,0.0
BGSP,healthy,241,230,T1,1.20x1.20x1.20,100.0,0.0
IXI,healthy,300,100,"PD,T1,T2",0.94x0.94x1.25,100.0,0.0
NFBS,healthy,125,125,T1,1.00x1.00x1.00,100.0,0.0
3D-MR-MS,multiple_sclerosis,120,30,"FLAIR,T1,T1c,T2",0.80x0.47x0.47,100.0,0.0
MS-60,multiple_sclerosis,180,60,"FLAIR,T1,T2",1.00x1.00x1.00,0.0,0.0
MSLesSeg,multiple_sclerosis,300,100,"FLAIR,T1,T2",1.00x1.00x1.00,0.0,0.0
OASIS-1,neurodegenerative,300,286,T1,1.00x1.00x1.25,100.0,0.0
OASIS-2,neurodegenerative,301,122,T1,1.00x1.00x1.25,100.0,0.0
UMF-PD,parkinsons,82,82,T1,1.00x0.98x0.98,51.2,0.0
ISLES22,stroke,250,250,FLAIR,0.71x0.71x0.71,98.8,40.4
BraTS25-MEN,tumor,300,70,"FLAIR,T1,T1c,T2",1.00x1.00x1.00,0.0,0.0
BraTS25-MET,tumor,300,75,"FLAIR,T1,T1c,T2",1.00x1.00x1.00,62.7,21.3
BraTS25-SSA,tumor,300,75,"FLAIR,T1,T1c,T2",1.00x1.00x1.00,0.0,0.0
BrainMetShare,tumor,300,75,"FLAIR,T1,T1c",0.94x0.94x1.00,100.0,0.0
NSK-GBM,tumor,168,42,"FLAIR,T1,T1c,T2",0.48x0.47x1.00,100.0,50.0
UPENN-GBM,tumor,300,69,"FLAIR,T1,T1c,T2",1.00x1.00x1.00,0.0,0.0
