factor,chance,n,n_classes,before,after,after_null_mean,after_p,representation
modality,0.25,1604,4,0.7204781893797023,0.6711250301491892,0.24497698630252657,0.0,handcrafted
orientation,0.1111111111111111,1634,9,0.80241728151838,0.7129903117432901,0.115748290072485,0.0,handcrafted
voxel spacing,0.3333333333333333,1634,3,0.9450620859009404,0.7592983122244276,0.34284261699258545,0.0,handcrafted
template space,0.25,1634,4,0.9390082604563533,0.8106661449239867,0.24834969004425492,0.0,handcrafted
intensity scale,0.3333333333333333,1634,3,0.8156247202151757,0.6301982900505673,0.3416677036916669,0.0,handcrafted
bias field,0.3333333333333333,1634,3,0.8509285515707534,0.8208566809790051,0.3425378021262696,0.0,handcrafted
motion/ghosting (EFC),0.3333333333333333,1634,3,0.9006479564922163,0.874646251307588,0.34056836570329063,0.0,handcrafted
dataset,0.058823529411764705,1634,17,0.9005345666694773,0.7725468492859797,0.06078217915277867,0.0,handcrafted
modality,0.25,1604,4,0.8516573776343449,0.817446027109719,0.253186957769158,0.0,untrained
orientation,0.1111111111111111,1634,9,0.8335798257161672,0.8107984975994478,0.11423864720627545,0.0,untrained
voxel spacing,0.3333333333333333,1634,3,0.8982787354973899,0.8683397594060223,0.33900854610171394,0.0,untrained
template space,0.25,1634,4,0.9510729716856243,0.9442406930971279,0.25867859049710257,0.0,untrained
intensity scale,0.3333333333333333,1634,3,0.725726511658183,0.7170795930130516,0.33061136699805305,0.0,untrained
bias field,0.3333333333333333,1634,3,0.8992846919758234,0.8863563257447049,0.3332724544176432,0.0,untrained
motion/ghosting (EFC),0.3333333333333333,1634,3,0.9461132372229271,0.93231500386761,0.33585757482807427,0.0,untrained
dataset,0.058823529411764705,1634,17,0.9154724639763003,0.906587550107371,0.060352727148744165,0.0,untrained
modality,0.25,1604,4,0.8346280433880263,0.7956798432160823,0.25049356622622,0.0,medical
orientation,0.1111111111111111,1634,9,0.8217697976084413,0.7623940506490396,0.10905228038591834,0.0,medical
voxel spacing,0.3333333333333333,1634,3,0.8670529500811334,0.8097167411907877,0.3240550045015431,0.0,medical
template space,0.25,1634,4,0.9419205516813138,0.7725822999596395,0.24165434032609903,0.0,medical
intensity scale,0.3333333333333333,1634,3,0.7422632200815873,0.5611404495400123,0.33379397125071336,0.0,medical
bias field,0.3333333333333333,1634,3,0.9046541871312513,0.6585024557501622,0.32998140243431806,0.0,medical
motion/ghosting (EFC),0.3333333333333333,1634,3,0.9809505184081455,0.6314658515985667,0.3250471864289556,0.0,medical
dataset,0.058823529411764705,1634,17,0.9019836182336183,0.869307858594943,0.05951956315795266,0.0,medical
modality,0.25,1604,4,0.7932984928031914,0.7356674217293089,0.2514628268544254,0.0,selfsup
orientation,0.1111111111111111,1634,9,0.7831203914788282,0.7303222850382642,0.10632596279735454,0.0,selfsup
voxel spacing,0.3333333333333333,1634,3,0.8614262766138789,0.8066811075237593,0.3377344351305659,0.0,selfsup
template space,0.25,1634,4,0.9427485373740232,0.927933602453478,0.25183857270903054,0.0,selfsup
intensity scale,0.3333333333333333,1634,3,0.6742262192499862,0.5832967474861133,0.33629349575657913,0.0,selfsup
bias field,0.3333333333333333,1634,3,0.8893690215096942,0.8257524274343847,0.33566272091647825,0.0,selfsup
motion/ghosting (EFC),0.3333333333333333,1634,3,0.9270686755592417,0.8573843299506875,0.3338070903390419,0.0,selfsup
dataset,0.058823529411764705,1634,17,0.8729069301447817,0.8481795306379706,0.061202066621334705,0.0,selfsup
