dataset,n_modalities,condition,accuracy,representation
3D-MR-MS,4,before,0.325,handcrafted
3D-MR-MS,4,after,0.26666666666666666,handcrafted
3D-MR-MS,4,random,0.35,handcrafted
BGSP,1,before,1.0,handcrafted
BGSP,1,after,0.9626556016597511,handcrafted
BGSP,1,random,1.0,handcrafted
BraTS25-MEN,4,before,0.6333333333333333,handcrafted
BraTS25-MEN,4,after,0.5833333333333334,handcrafted
BraTS25-MEN,4,random,0.58,handcrafted
BraTS25-MET,4,before,0.5066666666666667,handcrafted
BraTS25-MET,4,after,0.55,handcrafted
BraTS25-MET,4,random,0.49666666666666665,handcrafted
BraTS25-SSA,4,before,0.5566666666666666,handcrafted
BraTS25-SSA,4,after,0.62,handcrafted
BraTS25-SSA,4,random,0.56,handcrafted
BrainMetShare,3,before,0.36333333333333334,handcrafted
BrainMetShare,3,after,0.35,handcrafted
BrainMetShare,3,random,0.35,handcrafted
EPISURG,1,before,0.3566666666666667,handcrafted
EPISURG,1,after,0.5766666666666667,handcrafted
EPISURG,1,random,0.11,handcrafted
ISLES22,1,before,0.084,handcrafted
ISLES22,1,after,0.784,handcrafted
ISLES22,1,random,0.008,handcrafted
IXI,2,before,0.625,handcrafted
IXI,2,after,0.735,handcrafted
IXI,2,random,0.475,handcrafted
MS-60,3,before,0.20555555555555555,handcrafted
MS-60,3,after,0.2777777777777778,handcrafted
MS-60,3,random,0.13333333333333333,handcrafted
MSLesSeg,3,before,0.47,handcrafted
MSLesSeg,3,after,0.54,handcrafted
MSLesSeg,3,random,0.43333333333333335,handcrafted
NFBS,1,before,0.0,handcrafted
NFBS,1,after,0.0,handcrafted
NFBS,1,random,0.0,handcrafted
NSK-GBM,4,before,0.25,handcrafted
NSK-GBM,4,after,0.20238095238095238,handcrafted
NSK-GBM,4,random,0.25,handcrafted
OASIS-1,1,before,0.19333333333333333,handcrafted
OASIS-1,1,after,0.19,handcrafted
OASIS-1,1,random,0.08333333333333333,handcrafted
OASIS-2,1,before,1.0,handcrafted
OASIS-2,1,after,0.6877076411960132,handcrafted
OASIS-2,1,random,1.0,handcrafted
UMF-PD,1,before,0.5975609756097561,handcrafted
UMF-PD,1,after,1.0,handcrafted
UMF-PD,1,random,0.8048780487804879,handcrafted
UPENN-GBM,4,before,0.37,handcrafted
UPENN-GBM,4,after,0.3933333333333333,handcrafted
UPENN-GBM,4,random,0.36666666666666664,handcrafted
3D-MR-MS,4,before,0.375,untrained
3D-MR-MS,4,after,0.2833333333333333,untrained
3D-MR-MS,4,random,0.4083333333333333,untrained
BGSP,1,before,0.8879668049792531,untrained
BGSP,1,after,0.008298755186721992,untrained
BGSP,1,random,0.7842323651452282,untrained
BraTS25-MEN,4,before,0.62,untrained
BraTS25-MEN,4,after,0.6133333333333333,untrained
BraTS25-MEN,4,random,0.62,untrained
BraTS25-MET,4,before,0.7033333333333334,untrained
BraTS25-MET,4,after,0.6366666666666667,untrained
BraTS25-MET,4,random,0.7,untrained
BraTS25-SSA,4,before,0.5266666666666666,untrained
BraTS25-SSA,4,after,0.49,untrained
BraTS25-SSA,4,random,0.5333333333333333,untrained
BrainMetShare,3,before,0.48333333333333334,untrained
BrainMetShare,3,after,0.5,untrained
BrainMetShare,3,random,0.43333333333333335,untrained
EPISURG,1,before,0.97,untrained
EPISURG,1,after,0.03666666666666667,untrained
EPISURG,1,random,0.9666666666666667,untrained
ISLES22,1,before,0.432,untrained
ISLES22,1,after,0.408,untrained
ISLES22,1,random,0.44,untrained
IXI,2,before,0.52,untrained
IXI,2,after,0.28,untrained
IXI,2,random,0.64,untrained
MS-60,3,before,0.31666666666666665,untrained
MS-60,3,after,0.1,untrained
MS-60,3,random,0.22777777777777777,untrained
MSLesSeg,3,before,0.5866666666666667,untrained
MSLesSeg,3,after,0.49333333333333335,untrained
MSLesSeg,3,random,0.6,untrained
NFBS,1,before,0.0,untrained
NFBS,1,after,0.0,untrained
NFBS,1,random,0.0,untrained
NSK-GBM,4,before,0.19047619047619047,untrained
NSK-GBM,4,after,0.31547619047619047,untrained
NSK-GBM,4,random,0.18452380952380953,untrained
OASIS-1,1,before,0.95,untrained
OASIS-1,1,after,0.05,untrained
OASIS-1,1,random,0.9633333333333334,untrained
OASIS-2,1,before,0.5415282392026578,untrained
OASIS-2,1,after,0.009966777408637873,untrained
OASIS-2,1,random,0.5016611295681063,untrained
UMF-PD,1,before,0.9390243902439024,untrained
UMF-PD,1,after,0.7195121951219512,untrained
UMF-PD,1,random,0.9146341463414634,untrained
UPENN-GBM,4,before,0.37,untrained
UPENN-GBM,4,after,0.29,untrained
UPENN-GBM,4,random,0.38,untrained
3D-MR-MS,4,before,0.25833333333333336,medical
3D-MR-MS,4,after,0.31666666666666665,medical
3D-MR-MS,4,random,0.2,medical
BGSP,1,before,0.991701244813278,medical
BGSP,1,after,0.012448132780082987,medical
BGSP,1,random,0.7510373443983402,medical
BraTS25-MEN,4,before,0.66,medical
BraTS25-MEN,4,after,0.63,medical
BraTS25-MEN,4,random,0.6733333333333333,medical
BraTS25-MET,4,before,0.65,medical
BraTS25-MET,4,after,0.58,medical
BraTS25-MET,4,random,0.6266666666666667,medical
BraTS25-SSA,4,before,0.5133333333333333,medical
BraTS25-SSA,4,after,0.48333333333333334,medical
BraTS25-SSA,4,random,0.5566666666666666,medical
BrainMetShare,3,before,0.42,medical
BrainMetShare,3,after,0.5,medical
BrainMetShare,3,random,0.31666666666666665,medical
EPISURG,1,before,0.47333333333333333,medical
EPISURG,1,after,0.05333333333333334,medical
EPISURG,1,random,0.31666666666666665,medical
ISLES22,1,before,0.78,medical
ISLES22,1,after,0.64,medical
ISLES22,1,random,0.772,medical
IXI,2,before,0.9,medical
IXI,2,after,0.41,medical
IXI,2,random,0.72,medical
MS-60,3,before,0.25555555555555554,medical
MS-60,3,after,0.23333333333333334,medical
MS-60,3,random,0.26666666666666666,medical
MSLesSeg,3,before,0.5466666666666666,medical
MSLesSeg,3,after,0.43666666666666665,medical
MSLesSeg,3,random,0.4066666666666667,medical
NFBS,1,before,0.024,medical
NFBS,1,after,0.0,medical
NFBS,1,random,0.008,medical
NSK-GBM,4,before,0.30357142857142855,medical
NSK-GBM,4,after,0.44047619047619047,medical
NSK-GBM,4,random,0.31547619047619047,medical
OASIS-1,1,before,0.16666666666666666,medical
OASIS-1,1,after,0.29333333333333333,medical
OASIS-1,1,random,0.7633333333333333,medical
OASIS-2,1,before,0.8970099667774086,medical
OASIS-2,1,after,0.6112956810631229,medical
OASIS-2,1,random,0.2292358803986711,medical
UMF-PD,1,before,0.8414634146341463,medical
UMF-PD,1,after,0.6341463414634146,medical
UMF-PD,1,random,0.7195121951219512,medical
UPENN-GBM,4,before,0.38333333333333336,medical
UPENN-GBM,4,after,0.4,medical
UPENN-GBM,4,random,0.42333333333333334,medical
3D-MR-MS,4,before,0.425,selfsup
3D-MR-MS,4,after,0.18333333333333332,selfsup
3D-MR-MS,4,random,0.375,selfsup
BGSP,1,before,0.8589211618257261,selfsup
BGSP,1,after,0.03319502074688797,selfsup
BGSP,1,random,0.8298755186721992,selfsup
BraTS25-MEN,4,before,0.63,selfsup
BraTS25-MEN,4,after,0.6166666666666667,selfsup
BraTS25-MEN,4,random,0.6366666666666667,selfsup
BraTS25-MET,4,before,0.6733333333333333,selfsup
BraTS25-MET,4,after,0.65,selfsup
BraTS25-MET,4,random,0.68,selfsup
BraTS25-SSA,4,before,0.6166666666666667,selfsup
BraTS25-SSA,4,after,0.5433333333333333,selfsup
BraTS25-SSA,4,random,0.6033333333333334,selfsup
BrainMetShare,3,before,0.31666666666666665,selfsup
BrainMetShare,3,after,0.44666666666666666,selfsup
BrainMetShare,3,random,0.30666666666666664,selfsup
EPISURG,1,before,0.7166666666666667,selfsup
EPISURG,1,after,0.13666666666666666,selfsup
EPISURG,1,random,0.8066666666666666,selfsup
ISLES22,1,before,0.612,selfsup
ISLES22,1,after,0.448,selfsup
ISLES22,1,random,0.624,selfsup
IXI,2,before,0.71,selfsup
IXI,2,after,0.41,selfsup
IXI,2,random,0.69,selfsup
MS-60,3,before,0.2833333333333333,selfsup
MS-60,3,after,0.2388888888888889,selfsup
MS-60,3,random,0.3277777777777778,selfsup
MSLesSeg,3,before,0.4,selfsup
MSLesSeg,3,after,0.36,selfsup
MSLesSeg,3,random,0.38,selfsup
NFBS,1,before,0.04,selfsup
NFBS,1,after,0.976,selfsup
NFBS,1,random,0.008,selfsup
NSK-GBM,4,before,0.19642857142857142,selfsup
NSK-GBM,4,after,0.22023809523809523,selfsup
NSK-GBM,4,random,0.17857142857142858,selfsup
OASIS-1,1,before,0.38,selfsup
OASIS-1,1,after,0.93,selfsup
OASIS-1,1,random,0.3466666666666667,selfsup
OASIS-2,1,before,0.9302325581395349,selfsup
OASIS-2,1,after,0.006644518272425249,selfsup
OASIS-2,1,random,0.9335548172757475,selfsup
UMF-PD,1,before,0.5975609756097561,selfsup
