representation,factor,n,n_classes,chance,balanced_acc,balanced_acc_sd,macro_auc,null_mean,null_p95,p_value
handcrafted,modality (no PD),4067,4,0.25,0.723025604255566,0.0121366430742784,0.8842441499915105,0.251184223121776,0.2667302897378482,0.0
handcrafted,orientation,4167,9,0.1111111111111111,0.8687243331114662,0.0425968604458949,0.9736390801022436,0.1137683643335277,0.1476909014944185,0.0
handcrafted,voxel spacing,4167,3,0.3333333333333333,0.9480165558199763,0.0064003469075328,0.9897248267913068,0.3350155551063491,0.3538233853913236,0.0
handcrafted,template space,4167,4,0.25,0.9468821127650888,0.0044906812709501,0.9865602349186664,0.2537837700836788,0.2718636836539931,0.0
handcrafted,intensity scale,4167,3,0.3333333333333333,0.8536847625531679,0.016467640594726,0.957267234589496,0.3351065286278435,0.347238271244557,0.0
handcrafted,bias field,4167,3,0.3333333333333333,0.8579304619138689,0.0061941656389338,0.9631020559202595,0.335827144136102,0.3504392909874868,0.0
handcrafted,motion/ghosting (EFC),4167,3,0.3333333333333333,0.9056180895377898,0.0082972918479766,0.98231902815921,0.3345216932527343,0.3482232955174603,0.0
handcrafted,site (IXI only),300,3,0.3333333333333333,0.9193827160493828,0.0392887535765379,0.9687105119825706,0.33283812584276,0.4135893248837645,0.0
handcrafted,dataset,4167,17,0.0588235294117647,0.9177832065430908,0.0069837966034274,0.9908488670863084,0.0605032956451419,0.0684042820734062,0.0
untrained,modality (no PD),4067,4,0.25,0.8824595654740236,0.0108036695136397,0.9756546168043816,0.2518282663370628,0.2680988254752872,0.0
untrained,orientation,4167,9,0.1111111111111111,0.875367163321555,0.0432599128324403,0.990678838537474,0.1115571881677598,0.1282363714401479,0.0
untrained,voxel spacing,4167,3,0.3333333333333333,0.8961095036942222,0.015427820212542,0.9796708566312612,0.3352265514523611,0.3588088430290408,0.0
untrained,template space,4167,4,0.25,0.9636248759364328,0.0085073244835153,0.9943234033607112,0.2510612630210032,0.2701993898936564,0.0
untrained,intensity scale,4167,3,0.3333333333333333,0.7540162039849119,0.0104445992261039,0.897271436984559,0.3360825276710267,0.3487147493717744,0.0
untrained,bias field,4167,3,0.3333333333333333,0.9179238227626304,0.0084566335251081,0.9827140532951584,0.3348091216092134,0.3465895309988249,0.0
untrained,motion/ghosting (EFC),4167,3,0.3333333333333333,0.9653662337265262,0.005775009784537,0.9966181860216892,0.3335736152468481,0.3479619768743449,0.0
untrained,site (IXI only),300,3,0.3333333333333333,0.9903703703703702,0.0119095816228248,0.9992011316872428,0.3329686846906068,0.3805136165553204,0.0
untrained,dataset,4167,17,0.0588235294117647,0.941572460820332,0.0059437863518249,0.9954299932241888,0.060011393003018,0.068405840973287,0.0
medical,modality (no PD),4067,4,0.25,0.8674190135559273,0.0184585326156236,0.9714307610581984,0.2507908834622961,0.2662363621301095,0.0
medical,orientation,4167,9,0.1111111111111111,0.8650095081128506,0.031332191990852,0.9712657842643684,0.1123059703463878,0.1269251913138603,0.0
medical,voxel spacing,4167,3,0.3333333333333333,0.8855601749967418,0.0190184532772724,0.9810931996923798,0.3331367916161089,0.3523167021259382,0.0
medical,template space,4167,4,0.25,0.9668831178635862,0.0091804490766381,0.9938205105275209,0.2509583373472677,0.2662666313217221,0.0
medical,intensity scale,4167,3,0.3333333333333333,0.7576944435419924,0.0100401978395259,0.9025786750531128,0.3362023818603872,0.3516387866000031,0.0
medical,bias field,4167,3,0.3333333333333333,0.9149690705104484,0.008378799422496,0.9811999917732576,0.3336853721702667,0.3479955480632754,0.0
medical,motion/ghosting (EFC),4167,3,0.3333333333333333,0.9820833027301228,0.0042410859407223,0.9992846312818,0.3344220504949238,0.3501555311087876,0.0
medical,site (IXI only),300,3,0.3333333333333333,0.9874074074074072,0.0154671207539415,0.999824074074074,0.3347784396893887,0.4009828441088071,0.0
medical,dataset,4167,17,0.0588235294117647,0.93867555196299,0.0064765626980976,0.9955950635722872,0.0598426947900841,0.0686934153750532,0.0
selfsup,modality (no PD),4067,4,0.25,0.8280443124495304,0.0189768831024771,0.9518841101764765,0.2509709077505712,0.2684422978735298,0.0
selfsup,orientation,4167,9,0.1111111111111111,0.8182722904286684,0.0401782871583343,0.974876059623557,0.1136192386870878,0.1335816306511755,0.0
selfsup,voxel spacing,4167,3,0.3333333333333333,0.8699338894175013,0.0175846305141784,0.9662220791519084,0.3344302968452989,0.3575431511286686,0.0
selfsup,template space,4167,4,0.25,0.9573972860281847,0.0064660774825629,0.9921633749941028,0.2522496054573547,0.26943816397833,0.0
selfsup,intensity scale,4167,3,0.3333333333333333,0.712340317050605,0.0174669215576983,0.8667016335010164,0.3343250543948875,0.3501114722734407,0.0
selfsup,bias field,4167,3,0.3333333333333333,0.9038475664611486,0.0136286788717752,0.97396258432329,0.3323684453142778,0.345144120445286,0.0
selfsup,motion/ghosting (EFC),4167,3,0.3333333333333333,0.9466478549106936,0.0058921907988688,0.9910759628597992,0.3334507421035528,0.3473177098810152,0.0
selfsup,site (IXI only),300,3,0.3333333333333333,0.981111111111111,0.0217774418383428,0.9958909465020576,0.3338390074053887,0.3963269027029124,0.0
selfsup,dataset,4167,17,0.0588235294117647,0.9136356381629228,0.0102977518286498,0.9913391689600066,0.0597630198580112,0.0664091281227712,0.0
brainiac,modality (no PD),4067,4,0.25,0.7574133435975765,0.011817044338232,0.9331184591133166,0.2496621026991755,0.266276565314612,0.0
brainiac,orientation,4167,9,0.1111111111111111,0.7892025831130596,0.0369660429654443,0.9519739152875762,0.1115838567834753,0.1245806600521603,0.0
brainiac,voxel spacing,4167,3,0.3333333333333333,0.7727605447551086,0.0220504983399321,0.9240891052275072,0.3328852246426062,0.356868273382303,0.0
