dataset,emb_spread,n_modalities,log_n_subjects,domain_rarity,aniso_frac,orient_entropy,redundancy,DRUS,transfer_score,contribution
MS-60,14.3965,3,1.7782,0.3333,0.0,0.0,-0.0246,4.426,0.2333,0.0037
MSLesSeg,11.6414,3,2.0,0.3333,0.0,0.0,-0.0484,4.1973,0.4,-0.0112
UPENN-GBM,9.4967,4,1.8388,0.1667,0.0,0.0,0.0045,2.4701,0.4267,0.0718
OASIS-1,10.339,1,2.4564,0.5,1.0,0.0,-0.0328,2.09,0.0033,-0.0117
UMF-PD,9.527,1,1.9138,1.0,0.5122,0.0,0.1066,1.5878,0.8659,-0.0021
OASIS-2,11.1484,1,2.0864,0.5,1.0,0.0,-0.0398,1.0688,0.9834,0.0037
EPISURG,9.6429,1,2.2553,1.0,0.9767,0.2761,0.1036,0.6449,0.4067,-0.0003
NSK-GBM,11.8912,4,1.6232,0.1667,1.0,0.0,0.0136,0.3948,0.3512,-0.0123
BGSP,6.8432,1,2.3617,0.3333,1.0,0.0,-0.0276,-0.4396,1.0,0.0031
3D-MR-MS,10.0645,4,1.4771,0.3333,1.0,0.0,0.1066,-0.989,0.2333,0.0005
BraTS25-MEN,7.4485,4,1.8451,0.1667,0.0,0.0,0.4293,-1.0451,0.5167,0.0108
BraTS25-SSA,7.6562,4,1.8751,0.1667,0.0,0.123,0.4293,-1.4069,0.4767,0.0253
IXI,10.4233,3,2.0,0.3333,1.0,0.6365,-0.012,-1.7815,0.905,0.0022
BrainMetShare,6.3159,3,1.8751,0.1667,1.0,0.0,0.0109,-1.8592,0.26,0.0058
ISLES22,6.82,1,2.3979,1.0,0.988,0.6696,0.26,-2.8829,0.776,0.0053
BraTS25-MET,7.6414,4,1.8751,0.1667,0.6267,0.2783,0.3307,-2.9403,0.5567,-0.003
NFBS,6.0595,1,2.0969,0.3333,1.0,0.0,0.2516,-3.5353,0.0,-0.0082
