representation,factor,rank_factor,rank_modality,min_angle_deg,overlap,random_ref_angle_deg
handcrafted,orientation,8,3,67.05613440774547,0.3898290946678549,69.5531650243463
handcrafted,voxel spacing,2,3,86.08776341820572,0.06822836318856304,79.81459027692712
handcrafted,template space,3,3,82.82637558408605,0.1248765094406686,84.94870114687602
handcrafted,intensity scale,2,3,82.96802385862524,0.12242325343615638,79.81459027692712
handcrafted,bias field,2,3,74.48290295313448,0.2675259112723451,79.81459027692712
handcrafted,motion/ghosting (EFC),2,3,71.95883414941959,0.30970022929272,79.81459027692712
handcrafted,dataset,16,3,43.86983345888459,0.7209160916451975,49.90944300466674
untrained,orientation,8,3,72.87705185201689,0.29442311656269043,80.17712052995805
untrained,voxel spacing,2,3,80.70033227783918,0.1615980979865187,84.9726090871215
untrained,template space,3,3,86.42836769856451,0.06229637909828003,87.77084093536641
untrained,intensity scale,2,3,86.46033096611278,0.0617395887179687,84.9726090871215
untrained,bias field,2,3,82.41097090819275,0.1320665913987718,84.9726090871215
untrained,motion/ghosting (EFC),2,3,85.71801876257543,0.07466512162781583,84.9726090871215
untrained,dataset,16,3,63.14207464239659,0.45177970385478194,73.29712177409343
medical,orientation,8,3,80.23800116306671,0.16955589450616723,80.17712052995805
medical,voxel spacing,2,3,75.55506406188205,0.24944945107496042,84.9726090871215
medical,template space,3,3,87.91166499047326,0.03644025219153428,87.77084093536641
medical,intensity scale,2,3,77.94529496080969,0.2088455146594668,84.9726090871215
medical,bias field,2,3,82.38190500815344,0.1325694265587468,84.9726090871215
medical,motion/ghosting (EFC),2,3,80.98171146886888,0.15674972232811413,84.9726090871215
medical,dataset,16,3,66.74498006202745,0.3948243542518245,73.29712177409343
selfsup,orientation,8,3,79.2128099967838,0.18716169343986994,80.17712052995805
selfsup,voxel spacing,2,3,82.44879496984082,0.13141219065044374,84.9726090871215
selfsup,template space,3,3,85.45315479460831,0.07927415208851808,87.77084093536641
selfsup,intensity scale,2,3,86.69063991081528,0.05772711967717187,84.9726090871215
selfsup,bias field,2,3,88.58208462689409,0.024744765861765505,84.9726090871215
selfsup,motion/ghosting (EFC),2,3,83.88731171763222,0.10648426715720372,84.9726090871215
selfsup,dataset,16,3,66.95247601120258,0.3914945068153566,73.29712177409343
