representation,transfer,spearman_r,mantel_p,n_pairs
handcrafted,medical_transfer,-0.1128824507169207,0.2715,144
handcrafted,own_transfer,-0.10048590090186413,0.393,144
untrained,medical_transfer,-0.20004103477507973,0.041,144
untrained,own_transfer,-0.148215779665239,0.225,144
medical,medical_transfer,-0.22761434293048471,0.0195,144
medical,own_transfer,-0.22761434293048471,0.0195,144
selfsup,medical_transfer,-0.16964165906840062,0.0915,144
selfsup,own_transfer,-0.11755571307997682,0.3095,144
brainiac,medical_transfer,-0.19878926020350968,0.052,144
brainiac,own_transfer,-0.4211493345918709,0.0015,144
3dino,medical_transfer,-0.18985348455814743,0.0615,144
3dino,own_transfer,-0.09171579285710976,0.5945,144
brainfm,medical_transfer,-0.20478205537464933,0.039,144
brainfm,own_transfer,-0.33589108781368493,0.0175,144
3dino_rand,medical_transfer,-0.09687142749311911,0.359,144
3dino_rand,own_transfer,-0.4697142642338716,0.0015,144
3dino_z,medical_transfer,-0.19902308604940683,0.0465,144
3dino_z,own_transfer,-0.2729145956383358,0.1125,144
untrained_pct,medical_transfer,-0.18696694480534826,0.063,144
untrained_pct,own_transfer,-0.26097936358584933,0.055,144
medical_pct,medical_transfer,-0.20106503072090515,0.0465,144
medical_pct,own_transfer,-0.204848843137972,0.1125,144
