representation,dataset_a,dataset_b,distance
handcrafted,3D-MR-MS,3D-MR-MS,0.0
handcrafted,3D-MR-MS,BGSP,1.9760966841443053
handcrafted,3D-MR-MS,BraTS25-MEN,1.6279340946169498
handcrafted,3D-MR-MS,BraTS25-MET,1.248733917521917
handcrafted,3D-MR-MS,BraTS25-SSA,1.596904723671317
handcrafted,3D-MR-MS,BrainMetShare,1.5225283466853516
handcrafted,3D-MR-MS,EPISURG,1.4953215475411832
handcrafted,3D-MR-MS,ISLES22,1.4637349942537132
handcrafted,3D-MR-MS,IXI,1.644592939923726
handcrafted,3D-MR-MS,MS-60,1.7993510325936375
handcrafted,3D-MR-MS,MSLesSeg,1.5614073052840984
handcrafted,3D-MR-MS,NFBS,1.5634614448540887
handcrafted,3D-MR-MS,NSK-GBM,1.6743450530794528
handcrafted,3D-MR-MS,OASIS-1,1.605056003084962
handcrafted,3D-MR-MS,OASIS-2,1.7218432277881872
handcrafted,3D-MR-MS,UMF-PD,1.5558964057167326
handcrafted,3D-MR-MS,UPENN-GBM,1.6495668000990722
handcrafted,BGSP,3D-MR-MS,1.9760966841443053
handcrafted,BGSP,BGSP,0.0
handcrafted,BGSP,BraTS25-MEN,1.0352239789182054
handcrafted,BGSP,BraTS25-MET,1.3190326607354734
handcrafted,BGSP,BraTS25-SSA,0.9583926733922773
handcrafted,BGSP,BrainMetShare,1.0071695897693183
handcrafted,BGSP,EPISURG,0.6582658448851122
handcrafted,BGSP,ISLES22,1.7716039609265706
handcrafted,BGSP,IXI,0.638349023849022
handcrafted,BGSP,MS-60,1.0978977903211289
handcrafted,BGSP,MSLesSeg,0.8796097927413311
handcrafted,BGSP,NFBS,1.125418041733239
handcrafted,BGSP,NSK-GBM,2.174823866258345
handcrafted,BGSP,OASIS-1,0.7881965865064369
handcrafted,BGSP,OASIS-2,0.6279022213075297
handcrafted,BGSP,UMF-PD,0.6755969782565818
handcrafted,BGSP,UPENN-GBM,0.5658151353840835
handcrafted,BraTS25-MEN,3D-MR-MS,1.6279340946169498
handcrafted,BraTS25-MEN,BGSP,1.0352239789182054
handcrafted,BraTS25-MEN,BraTS25-MEN,0.0
handcrafted,BraTS25-MEN,BraTS25-MET,0.6587184747136701
handcrafted,BraTS25-MEN,BraTS25-SSA,0.41653446478423656
handcrafted,BraTS25-MEN,BrainMetShare,0.43717265167493186
handcrafted,BraTS25-MEN,EPISURG,0.7000734942663683
handcrafted,BraTS25-MEN,ISLES22,1.2956906339330176
handcrafted,BraTS25-MEN,IXI,0.8991336339509571
handcrafted,BraTS25-MEN,MS-60,0.8446725658702897
handcrafted,BraTS25-MEN,MSLesSeg,0.4670391072361328
handcrafted,BraTS25-MEN,NFBS,0.6553003434583289
handcrafted,BraTS25-MEN,NSK-GBM,1.7132307637014366
handcrafted,BraTS25-MEN,OASIS-1,0.5765735969951918
handcrafted,BraTS25-MEN,OASIS-2,0.959207711784328
handcrafted,BraTS25-MEN,UMF-PD,0.6497053640514335
handcrafted,BraTS25-MEN,UPENN-GBM,0.8486961283752888
handcrafted,BraTS25-MET,3D-MR-MS,1.248733917521917
handcrafted,BraTS25-MET,BGSP,1.3190326607354734
handcrafted,BraTS25-MET,BraTS25-MEN,0.6587184747136701
