dataset,n_modalities,condition,accuracy,representation
3D-MR-MS,4,ERM,0.325,handcrafted
3D-MR-MS,4,GroupDRO,0.25,handcrafted
BGSP,1,ERM,1.0,handcrafted
BGSP,1,GroupDRO,0.991701244813278,handcrafted
BraTS25-MEN,4,ERM,0.6333333333333333,handcrafted
BraTS25-MEN,4,GroupDRO,0.5333333333333333,handcrafted
BraTS25-MET,4,ERM,0.5066666666666667,handcrafted
BraTS25-MET,4,GroupDRO,0.4533333333333333,handcrafted
BraTS25-SSA,4,ERM,0.5566666666666666,handcrafted
BraTS25-SSA,4,GroupDRO,0.25,handcrafted
BrainMetShare,3,ERM,0.36333333333333334,handcrafted
BrainMetShare,3,GroupDRO,0.23666666666666666,handcrafted
EPISURG,1,ERM,0.3566666666666667,handcrafted
EPISURG,1,GroupDRO,0.52,handcrafted
ISLES22,1,ERM,0.084,handcrafted
ISLES22,1,GroupDRO,0.012,handcrafted
IXI,2,ERM,0.625,handcrafted
IXI,2,GroupDRO,0.62,handcrafted
MS-60,3,ERM,0.20555555555555555,handcrafted
MS-60,3,GroupDRO,0.18333333333333332,handcrafted
MSLesSeg,3,ERM,0.47,handcrafted
MSLesSeg,3,GroupDRO,0.35333333333333333,handcrafted
NFBS,1,ERM,0.0,handcrafted
NFBS,1,GroupDRO,0.008,handcrafted
NSK-GBM,4,ERM,0.25,handcrafted
NSK-GBM,4,GroupDRO,0.23809523809523808,handcrafted
OASIS-1,1,ERM,0.19333333333333333,handcrafted
OASIS-1,1,GroupDRO,0.11,handcrafted
OASIS-2,1,ERM,1.0,handcrafted
OASIS-2,1,GroupDRO,0.9933554817275747,handcrafted
UMF-PD,1,ERM,0.5975609756097561,handcrafted
UMF-PD,1,GroupDRO,0.9390243902439024,handcrafted
UPENN-GBM,4,ERM,0.37,handcrafted
UPENN-GBM,4,GroupDRO,0.2833333333333333,handcrafted
3D-MR-MS,4,ERM,0.375,untrained
3D-MR-MS,4,GroupDRO,0.3416666666666667,untrained
BGSP,1,ERM,0.8879668049792531,untrained
BGSP,1,GroupDRO,0.5767634854771784,untrained
BraTS25-MEN,4,ERM,0.62,untrained
BraTS25-MEN,4,GroupDRO,0.66,untrained
BraTS25-MET,4,ERM,0.7033333333333334,untrained
BraTS25-MET,4,GroupDRO,0.7233333333333334,untrained
BraTS25-SSA,4,ERM,0.5266666666666666,untrained
BraTS25-SSA,4,GroupDRO,0.4533333333333333,untrained
BrainMetShare,3,ERM,0.48333333333333334,untrained
BrainMetShare,3,GroupDRO,0.4766666666666667,untrained
EPISURG,1,ERM,0.97,untrained
EPISURG,1,GroupDRO,0.95,untrained
ISLES22,1,ERM,0.432,untrained
ISLES22,1,GroupDRO,0.388,untrained
IXI,2,ERM,0.52,untrained
IXI,2,GroupDRO,0.63,untrained
MS-60,3,ERM,0.31666666666666665,untrained
MS-60,3,GroupDRO,0.3055555555555556,untrained
MSLesSeg,3,ERM,0.5866666666666667,untrained
MSLesSeg,3,GroupDRO,0.49666666666666665,untrained
NFBS,1,ERM,0.0,untrained
NFBS,1,GroupDRO,0.0,untrained
NSK-GBM,4,ERM,0.19047619047619047,untrained
NSK-GBM,4,GroupDRO,0.2261904761904762,untrained
OASIS-1,1,ERM,0.95,untrained
OASIS-1,1,GroupDRO,0.67,untrained
OASIS-2,1,ERM,0.5415282392026578,untrained
OASIS-2,1,GroupDRO,0.45182724252491696,untrained
UMF-PD,1,ERM,0.9390243902439024,untrained
UMF-PD,1,GroupDRO,0.8780487804878049,untrained
UPENN-GBM,4,ERM,0.37,untrained
UPENN-GBM,4,GroupDRO,0.38666666666666666,untrained
3D-MR-MS,4,ERM,0.25833333333333336,medical
3D-MR-MS,4,GroupDRO,0.2916666666666667,medical
BGSP,1,ERM,0.991701244813278,medical
BGSP,1,GroupDRO,0.8672199170124482,medical
BraTS25-MEN,4,ERM,0.66,medical
BraTS25-MEN,4,GroupDRO,0.7133333333333334,medical
BraTS25-MET,4,ERM,0.65,medical
BraTS25-MET,4,GroupDRO,0.6566666666666666,medical
BraTS25-SSA,4,ERM,0.5133333333333333,medical
BraTS25-SSA,4,GroupDRO,0.5166666666666667,medical
BrainMetShare,3,ERM,0.42,medical
BrainMetShare,3,GroupDRO,0.44333333333333336,medical
EPISURG,1,ERM,0.47333333333333333,medical
EPISURG,1,GroupDRO,0.5766666666666667,medical
ISLES22,1,ERM,0.78,medical
ISLES22,1,GroupDRO,0.712,medical
IXI,2,ERM,0.9,medical
IXI,2,GroupDRO,0.775,medical
MS-60,3,ERM,0.25555555555555554,medical
MS-60,3,GroupDRO,0.29444444444444445,medical
MSLesSeg,3,ERM,0.5466666666666666,medical
MSLesSeg,3,GroupDRO,0.5433333333333333,medical
NFBS,1,ERM,0.024,medical
NFBS,1,GroupDRO,0.216,medical
NSK-GBM,4,ERM,0.30357142857142855,medical
NSK-GBM,4,GroupDRO,0.2976190476190476,medical
OASIS-1,1,ERM,0.16666666666666666,medical
OASIS-1,1,GroupDRO,0.33666666666666667,medical
OASIS-2,1,ERM,0.8970099667774086,medical
OASIS-2,1,GroupDRO,0.8538205980066446,medical
UMF-PD,1,ERM,0.8414634146341463,medical
UMF-PD,1,GroupDRO,0.9024390243902439,medical
UPENN-GBM,4,ERM,0.38333333333333336,medical
UPENN-GBM,4,GroupDRO,0.39666666666666667,medical
3D-MR-MS,4,ERM,0.425,selfsup
3D-MR-MS,4,GroupDRO,0.20833333333333334,selfsup
BGSP,1,ERM,0.8589211618257261,selfsup
BGSP,1,GroupDRO,0.5601659751037344,selfsup
BraTS25-MEN,4,ERM,0.63,selfsup
BraTS25-MEN,4,GroupDRO,0.6733333333333333,selfsup
BraTS25-MET,4,ERM,0.6733333333333333,selfsup
BraTS25-MET,4,GroupDRO,0.66,selfsup
BraTS25-SSA,4,ERM,0.6166666666666667,selfsup
BraTS25-SSA,4,GroupDRO,0.57,selfsup
BrainMetShare,3,ERM,0.31666666666666665,selfsup
BrainMetShare,3,GroupDRO,0.34,selfsup
EPISURG,1,ERM,0.7166666666666667,selfsup
EPISURG,1,GroupDRO,0.6266666666666667,selfsup
ISLES22,1,ERM,0.612,selfsup
ISLES22,1,GroupDRO,0.6,selfsup
IXI,2,ERM,0.71,selfsup
IXI,2,GroupDRO,0.665,selfsup
MS-60,3,ERM,0.2833333333333333,selfsup
MS-60,3,GroupDRO,0.42777777777777776,selfsup
MSLesSeg,3,ERM,0.4,selfsup
MSLesSeg,3,GroupDRO,0.45666666666666667,selfsup
NFBS,1,ERM,0.04,selfsup
NFBS,1,GroupDRO,0.08,selfsup
NSK-GBM,4,ERM,0.19642857142857142,selfsup
NSK-GBM,4,GroupDRO,0.25595238095238093,selfsup
OASIS-1,1,ERM,0.38,selfsup
OASIS-1,1,GroupDRO,0.6733333333333333,selfsup
OASIS-2,1,ERM,0.9302325581395349,selfsup
OASIS-2,1,GroupDRO,0.867109634551495,selfsup
UMF-PD,1,ERM,0.5975609756097561,selfsup
UMF-PD,1,GroupDRO,0.6097560975609756,selfsup
UPENN-GBM,4,ERM,0.41,selfsup
UPENN-GBM,4,GroupDRO,0.43,selfsup
