dataset,aniso_frac,template_space_mismatch,orientation_rarity,skull_stripped,transfer_score,isolated,n_outlier_flags
NFBS,1.0,0.0,0.0,True,0.0,True,2
OASIS-1,1.0,1.0,0.0,False,0.0033,True,2
3D-MR-MS,1.0,0.0,0.0,False,0.2333,True,1
MS-60,0.0,1.0,0.0,False,0.2333,True,1
BrainMetShare,1.0,1.0,0.0,True,0.26,True,3
NSK-GBM,1.0,0.0,0.0,False,0.3512,False,1
MSLesSeg,0.0,1.0,0.0,False,0.4,False,1
EPISURG,0.9767,0.0,0.0233,False,0.4067,False,0
UPENN-GBM,0.0,0.0,0.0,False,0.4267,False,0
BraTS25-SSA,0.0,0.0,0.0,False,0.4767,False,0
BraTS25-MEN,0.0,1.0,0.0,False,0.5167,False,1
BraTS25-MET,0.6267,0.0433,0.0,False,0.5567,False,1
ISLES22,0.988,0.0,0.0,False,0.776,False,0
UMF-PD,0.5122,0.0,0.0,False,0.8659,False,0
IXI,1.0,0.0,0.0,False,0.905,False,1
OASIS-2,1.0,0.0,0.0,False,0.9834,False,1
BGSP,1.0,0.0,0.0,False,1.0,False,1
