representation,method,dims_removed,dataset_after,modality_after,lodo_before,lodo_after
handcrafted,INLP,13,0.7725468492859797,0.6711250301491892,0.44335979595090064,0.5129130572361468
handcrafted,LEACE,16,0.8550266840292415,0.6201587290408294,0.44335979595090064,0.45956165722102793
handcrafted,random(k=16),16,0.8705779900217241,0.6640188454910987,0.44335979595090064,0.47556721909490435
untrained,INLP,4,0.906587550107371,0.817446027109719,0.5536860171510982,0.30791689714863735
untrained,LEACE,16,0.4066594882099997,0.6915381825371073,0.5536860171510982,0.39766636622475426
untrained,random(k=16),16,0.9150327890353467,0.8400453891296561,0.5536860171510982,0.5035253778734008
medical,INLP,6,0.869307858594943,0.7956798432160823,0.5332334280599108,0.39264900073232223
medical,LEACE,16,0.2706303952275819,0.6591082303296603,0.5332334280599108,0.4236338042491548
medical,random(k=16),16,0.89189744422481,0.7782018494969274,0.5332334280599108,0.40350184841680575
selfsup,INLP,3,0.8481795306379706,0.7356674217293089,0.5174594078629562,0.4246077868708726
selfsup,LEACE,16,0.25078640988167844,0.5797986992219017,0.5174594078629562,0.3902493744150268
selfsup,random(k=16),16,0.8493627646153221,0.7742247780887311,0.5174594078629562,0.4426051222058511
