representation,task,setting,n_datasets,bacc_mean,bacc_min,p_vs_chance,mae_mean,mae_mean_baseline,n_beats_baseline,pearson_r_mean
handcrafted,sex,lodo,10,0.5127413770317181,0.478125,0.21875,,,,
handcrafted,sex,within,10,0.757251649597245,0.5138888888888888,0.001953125,,,,
handcrafted,age,lodo,10,,,,27.363479335494993,18.39851175107853,3.0,0.06267495265767646
handcrafted,age,within,10,,,,9.117523791579318,10.89248543625578,8.0,0.324742966746421
untrained,sex,lodo,10,0.644344364902225,0.49722222222222223,0.00390625,,,,
untrained,sex,within,10,0.798035709763026,0.6236111111111111,0.001953125,,,,
untrained,age,lodo,10,,,,19.713879019890474,18.39851175107853,4.0,0.18871636606507772
untrained,age,within,10,,,,8.955250203745203,10.89248543625578,7.0,0.4067546626192125
medical,sex,lodo,10,0.6460243336143638,0.5186950146627566,0.001953125,,,,
medical,sex,within,10,0.806291531398222,0.600613154960981,0.001953125,,,,
medical,age,lodo,10,,,,22.84132595265934,18.39851175107853,3.0,0.23595059270980528
medical,age,within,10,,,,8.651543313842982,10.89248543625578,8.0,0.437312179821681
selfsup,sex,lodo,10,0.5979005990238465,0.48597873900293254,0.00390625,,,,
selfsup,sex,within,10,0.7449582026871227,0.6055555555555556,0.001953125,,,,
selfsup,age,lodo,10,,,,22.044643124088957,18.39851175107853,2.0,0.08219556634693102
selfsup,age,within,10,,,,8.604184293319973,10.89248543625578,9.0,0.43127724000693207
