dataset,R1,R2,R3,R4,n_modalities,transfer_score,domain
NFBS,0.0,0.0,0.0,0.008,1,0.0,healthy
OASIS-1,0.19333333333333333,0.93,0.0033333333333333335,0.6766666666666666,1,0.0033333333333333335,neurodegenerative
3D-MR-MS,0.325,0.5166666666666667,0.23333333333333334,0.4,4,0.23333333333333334,multiple_sclerosis
MS-60,0.20555555555555555,0.15555555555555556,0.23333333333333334,0.23333333333333334,3,0.23333333333333334,multiple_sclerosis
BrainMetShare,0.36333333333333334,0.37666666666666665,0.26,0.35333333333333333,3,0.26,tumor
NSK-GBM,0.25,0.18452380952380953,0.35119047619047616,0.23809523809523808,4,0.35119047619047616,tumor
MSLesSeg,0.47,0.5366666666666666,0.4,0.39666666666666667,3,0.4,multiple_sclerosis
EPISURG,0.3566666666666667,0.9766666666666667,0.4066666666666667,0.82,1,0.4066666666666667,epilepsy
UPENN-GBM,0.37,0.43666666666666665,0.4266666666666667,0.43333333333333335,4,0.4266666666666667,tumor
BraTS25-SSA,0.5566666666666666,0.53,0.4766666666666667,0.5466666666666666,4,0.4766666666666667,tumor
BraTS25-MEN,0.6333333333333333,0.6033333333333334,0.5166666666666667,0.6266666666666667,4,0.5166666666666667,tumor
BraTS25-MET,0.5066666666666667,0.6733333333333333,0.5566666666666666,0.63,4,0.5566666666666666,tumor
ISLES22,0.084,0.468,0.776,0.588,1,0.776,stroke
UMF-PD,0.5975609756097561,0.9146341463414634,0.8658536585365854,0.6463414634146342,1,0.8658536585365854,parkinsons
IXI,0.625,0.885,0.905,0.79,2,0.905,healthy
OASIS-2,1.0,0.8471760797342193,0.9833887043189369,0.946843853820598,1,0.9833887043189369,neurodegenerative
BGSP,1.0,1.0,1.0,1.0,1,1.0,healthy
