dataset,n,n_modalities,accuracy,balanced_acc,representation
3D-MR-MS,120,4,0.325,0.325,handcrafted
BGSP,241,1,1.0,,handcrafted
BraTS25-MEN,300,4,0.6333333333333333,0.6333333333333333,handcrafted
BraTS25-MET,300,4,0.5066666666666667,0.5066666666666667,handcrafted
BraTS25-SSA,300,4,0.5566666666666666,0.5566666666666666,handcrafted
BrainMetShare,300,3,0.36333333333333334,0.4822222222222223,handcrafted
EPISURG,300,1,0.3566666666666667,,handcrafted
ISLES22,250,1,0.084,,handcrafted
IXI,200,2,0.625,0.625,handcrafted
MS-60,180,3,0.20555555555555555,0.20555555555555557,handcrafted
MSLesSeg,300,3,0.47,0.47000000000000003,handcrafted
NFBS,125,1,0.0,,handcrafted
NSK-GBM,168,4,0.25,0.25,handcrafted
OASIS-1,300,1,0.19333333333333333,,handcrafted
OASIS-2,301,1,1.0,,handcrafted
UMF-PD,82,1,0.5975609756097561,,handcrafted
UPENN-GBM,300,4,0.37,0.37,handcrafted
3D-MR-MS,120,4,0.5166666666666667,0.5166666666666666,untrained
BGSP,241,1,1.0,,untrained
BraTS25-MEN,300,4,0.6033333333333334,0.6033333333333334,untrained
BraTS25-MET,300,4,0.6733333333333333,0.6733333333333333,untrained
BraTS25-SSA,300,4,0.53,0.53,untrained
BrainMetShare,300,3,0.37666666666666665,0.35555555555555557,untrained
EPISURG,300,1,0.9766666666666667,,untrained
ISLES22,250,1,0.468,,untrained
IXI,200,2,0.885,0.885,untrained
MS-60,180,3,0.15555555555555556,0.15555555555555553,untrained
MSLesSeg,300,3,0.5366666666666666,0.5366666666666666,untrained
NFBS,125,1,0.0,,untrained
NSK-GBM,168,4,0.18452380952380953,0.18452380952380953,untrained
OASIS-1,300,1,0.93,,untrained
OASIS-2,301,1,0.8471760797342193,,untrained
UMF-PD,82,1,0.9146341463414634,,untrained
UPENN-GBM,300,4,0.43666666666666665,0.43666666666666665,untrained
3D-MR-MS,120,4,0.23333333333333334,0.23333333333333334,medical
BGSP,241,1,1.0,,medical
BraTS25-MEN,300,4,0.5166666666666667,0.5166666666666666,medical
BraTS25-MET,300,4,0.5566666666666666,0.5566666666666666,medical
BraTS25-SSA,300,4,0.4766666666666667,0.4766666666666667,medical
BrainMetShare,300,3,0.26,0.3377777777777778,medical
EPISURG,300,1,0.4066666666666667,,medical
ISLES22,250,1,0.776,,medical
IXI,200,2,0.905,0.905,medical
MS-60,180,3,0.23333333333333334,0.2333333333333333,medical
MSLesSeg,300,3,0.4,0.39999999999999997,medical
NFBS,125,1,0.0,,medical
NSK-GBM,168,4,0.35119047619047616,0.3511904761904762,medical
OASIS-1,300,1,0.0033333333333333335,,medical
OASIS-2,301,1,0.9833887043189369,,medical
UMF-PD,82,1,0.8658536585365854,,medical
UPENN-GBM,300,4,0.4266666666666667,0.42666666666666664,medical
3D-MR-MS,120,4,0.4,0.4,selfsup
BGSP,241,1,1.0,,selfsup
BraTS25-MEN,300,4,0.6266666666666667,0.6266666666666667,selfsup
BraTS25-MET,300,4,0.63,0.63,selfsup
BraTS25-SSA,300,4,0.5466666666666666,0.5466666666666666,selfsup
BrainMetShare,300,3,0.35333333333333333,0.3688888888888889,selfsup
EPISURG,300,1,0.82,,selfsup
ISLES22,250,1,0.588,,selfsup
IXI,200,2,0.79,0.79,selfsup
MS-60,180,3,0.23333333333333334,0.2333333333333333,selfsup
MSLesSeg,300,3,0.39666666666666667,0.39666666666666667,selfsup
NFBS,125,1,0.008,,selfsup
NSK-GBM,168,4,0.23809523809523808,0.23809523809523808,selfsup
OASIS-1,300,1,0.6766666666666666,,selfsup
OASIS-2,301,1,0.946843853820598,,selfsup
UMF-PD,82,1,0.6463414634146342,,selfsup
UPENN-GBM,300,4,0.43333333333333335,0.43333333333333335,selfsup
3D-MR-MS,120,4,0.3,0.3,brainiac
BGSP,241,1,0.8215767634854771,,brainiac
BraTS25-MEN,300,4,0.7,0.7000000000000001,brainiac
BraTS25-MET,300,4,0.64,0.64,brainiac
BraTS25-SSA,300,4,0.55,0.55,brainiac
BrainMetShare,300,3,0.31,0.3333333333333333,brainiac
EPISURG,300,1,0.7066666666666667,,brainiac
ISLES22,250,1,0.608,,brainiac
IXI,200,2,0.785,0.7849999999999999,brainiac
MS-60,180,3,0.3333333333333333,0.3333333333333333,brainiac
MSLesSeg,300,3,0.5066666666666667,0.5066666666666667,brainiac
NFBS,125,1,0.32,,brainiac
NSK-GBM,168,4,0.43452380952380953,0.43452380952380953,brainiac
OASIS-1,300,1,0.09,,brainiac
OASIS-2,301,1,0.4584717607973422,,brainiac
UMF-PD,82,1,0.7317073170731707,,brainiac
UPENN-GBM,300,4,0.41333333333333333,0.41333333333333333,brainiac
3D-MR-MS,120,4,0.7583333333333333,0.7583333333333333,3dino
BGSP,241,1,0.970954356846473,,3dino
BraTS25-MEN,300,4,0.9033333333333333,0.9033333333333333,3dino
BraTS25-MET,300,4,0.8966666666666666,0.8966666666666667,3dino
BraTS25-SSA,300,4,0.87,0.87,3dino
BrainMetShare,300,3,0.6066666666666667,0.6822222222222223,3dino
EPISURG,300,1,0.9966666666666667,,3dino
ISLES22,250,1,0.936,,3dino
IXI,200,2,0.995,0.995,3dino
MS-60,180,3,0.3611111111111111,0.3611111111111111,3dino
MSLesSeg,300,3,0.6866666666666666,0.6866666666666666,3dino
NFBS,125,1,0.864,,3dino
NSK-GBM,168,4,0.5714285714285714,0.5714285714285714,3dino
OASIS-1,300,1,0.9933333333333333,,3dino
OASIS-2,301,1,0.9966777408637874,,3dino
UMF-PD,82,1,1.0,,3dino
UPENN-GBM,300,4,0.44,0.44,3dino
3D-MR-MS,120,4,0.4083333333333333,0.4083333333333333,brainfm
BGSP,241,1,0.970954356846473,,brainfm
BraTS25-MEN,300,4,0.7866666666666666,0.7866666666666667,brainfm
BraTS25-MET,300,4,0.7933333333333333,0.7933333333333334,brainfm
BraTS25-SSA,300,4,0.6266666666666667,0.6266666666666667,brainfm
BrainMetShare,300,3,0.4033333333333333,0.27777777777777773,brainfm
EPISURG,300,1,0.99,,brainfm
ISLES22,250,1,0.656,,brainfm
IXI,200,2,0.79,0.79,brainfm
MS-60,180,3,0.3333333333333333,0.3333333333333333,brainfm
MSLesSeg,300,3,0.6933333333333334,0.6933333333333334,brainfm
NFBS,125,1,0.08,,brainfm
NSK-GBM,168,4,0.27380952380952384,0.27380952380952384,brainfm
OASIS-1,300,1,0.6,,brainfm
OASIS-2,301,1,0.9867109634551495,,brainfm
UMF-PD,82,1,0.9390243902439024,,brainfm
UPENN-GBM,300,4,0.47,0.47,brainfm
3D-MR-MS,120,4,0.31666666666666665,0.31666666666666665,3dino_rand
BGSP,241,1,0.983402489626556,,3dino_rand
BraTS25-MEN,300,4,0.7133333333333334,0.7133333333333334,3dino_rand
BraTS25-MET,300,4,0.6633333333333333,0.6633333333333333,3dino_rand
BraTS25-SSA,300,4,0.5066666666666667,0.5066666666666667,3dino_rand
BrainMetShare,300,3,0.31666666666666665,0.32666666666666666,3dino_rand
EPISURG,300,1,0.5933333333333334,,3dino_rand
ISLES22,250,1,0.804,,3dino_rand
IXI,200,2,0.815,0.815,3dino_rand
MS-60,180,3,0.03333333333333333,0.03333333333333333,3dino_rand
MSLesSeg,300,3,0.6066666666666667,0.6066666666666666,3dino_rand
NFBS,125,1,0.56,,3dino_rand
NSK-GBM,168,4,0.5,0.5,3dino_rand
OASIS-1,300,1,0.17666666666666667,,3dino_rand
OASIS-2,301,1,0.6710963455149501,,3dino_rand
UMF-PD,82,1,0.9024390243902439,,3dino_rand
UPENN-GBM,300,4,0.5566666666666666,0.5566666666666666,3dino_rand
3D-MR-MS,120,4,0.6416666666666667,0.6416666666666666,3dino_z
BGSP,241,1,1.0,,3dino_z
BraTS25-MEN,300,4,0.7466666666666667,0.7466666666666666,3dino_z
BraTS25-MET,300,4,0.8366666666666667,0.8366666666666668,3dino_z
BraTS25-SSA,300,4,0.79,0.79,3dino_z
BrainMetShare,300,3,0.51,0.5844444444444444,3dino_z
EPISURG,300,1,0.9933333333333333,,3dino_z
ISLES22,250,1,0.856,,3dino_z
IXI,200,2,0.875,0.875,3dino_z
MS-60,180,3,0.17777777777777778,0.17777777777777778,3dino_z
MSLesSeg,300,3,0.6666666666666666,0.6666666666666666,3dino_z
NFBS,125,1,0.008,,3dino_z
NSK-GBM,168,4,0.375,0.375,3dino_z
OASIS-1,300,1,0.95,,3dino_z
OASIS-2,301,1,0.8803986710963455,,3dino_z
UMF-PD,82,1,0.7804878048780488,,3dino_z
UPENN-GBM,300,4,0.5366666666666666,0.5366666666666666,3dino_z
3D-MR-MS,120,4,0.5,0.5,untrained_pct
BGSP,241,1,1.0,,untrained_pct
BraTS25-MEN,300,4,0.8,0.8,untrained_pct
BraTS25-MET,300,4,0.8433333333333334,0.8433333333333334,untrained_pct
BraTS25-SSA,300,4,0.69,0.69,untrained_pct
BrainMetShare,300,3,0.38666666666666666,0.37777777777777777,untrained_pct
