source,target,accuracy,representation
3D-MR-MS,3D-MR-MS,1.0,R3
3D-MR-MS,BGSP,1.0,R3
3D-MR-MS,BraTS25-MEN,0.25,R3
3D-MR-MS,BraTS25-MET,0.25,R3
3D-MR-MS,BraTS25-SSA,0.25,R3
3D-MR-MS,BrainMetShare,0.25,R3
3D-MR-MS,EPISURG,0.9966666666666667,R3
3D-MR-MS,ISLES22,0.0,R3
3D-MR-MS,IXI,0.5,R3
3D-MR-MS,MS-60,0.03333333333333333,R3
3D-MR-MS,MSLesSeg,0.0033333333333333335,R3
3D-MR-MS,NFBS,0.0,R3
3D-MR-MS,NSK-GBM,0.25,R3
3D-MR-MS,OASIS-1,0.6533333333333333,R3
3D-MR-MS,OASIS-2,1.0,R3
3D-MR-MS,UMF-PD,0.975609756097561,R3
3D-MR-MS,UPENN-GBM,0.25,R3
BraTS25-MEN,3D-MR-MS,0.20833333333333334,R3
BraTS25-MEN,BGSP,0.1950207468879668,R3
BraTS25-MEN,BraTS25-MEN,0.9133333333333333,R3
BraTS25-MEN,BraTS25-MET,0.6266666666666667,R3
BraTS25-MEN,BraTS25-SSA,0.5533333333333333,R3
BraTS25-MEN,BrainMetShare,0.2733333333333333,R3
BraTS25-MEN,EPISURG,0.01,R3
BraTS25-MEN,ISLES22,0.648,R3
BraTS25-MEN,IXI,0.54,R3
BraTS25-MEN,MS-60,0.32222222222222224,R3
BraTS25-MEN,MSLesSeg,0.5466666666666666,R3
BraTS25-MEN,NFBS,0.784,R3
BraTS25-MEN,NSK-GBM,0.19047619047619047,R3
BraTS25-MEN,OASIS-1,0.3,R3
BraTS25-MEN,OASIS-2,0.08637873754152824,R3
BraTS25-MEN,UMF-PD,0.1951219512195122,R3
BraTS25-MEN,UPENN-GBM,0.33,R3
BraTS25-MET,3D-MR-MS,0.25,R3
BraTS25-MET,BGSP,0.0,R3
BraTS25-MET,BraTS25-MEN,0.67,R3
BraTS25-MET,BraTS25-MET,0.9366666666666666,R3
BraTS25-MET,BraTS25-SSA,0.53,R3
BraTS25-MET,BrainMetShare,0.21333333333333335,R3
BraTS25-MET,EPISURG,0.0,R3
BraTS25-MET,ISLES22,0.788,R3
BraTS25-MET,IXI,0.5,R3
BraTS25-MET,MS-60,0.2833333333333333,R3
BraTS25-MET,MSLesSeg,0.38666666666666666,R3
BraTS25-MET,NFBS,0.696,R3
BraTS25-MET,NSK-GBM,0.25,R3
BraTS25-MET,OASIS-1,0.0,R3
BraTS25-MET,OASIS-2,0.0,R3
BraTS25-MET,UMF-PD,0.0,R3
BraTS25-MET,UPENN-GBM,0.25,R3
BraTS25-SSA,3D-MR-MS,0.175,R3
BraTS25-SSA,BGSP,1.0,R3
BraTS25-SSA,BraTS25-MEN,0.5233333333333333,R3
BraTS25-SSA,BraTS25-MET,0.4666666666666667,R3
BraTS25-SSA,BraTS25-SSA,0.9066666666666666,R3
BraTS25-SSA,BrainMetShare,0.12,R3
BraTS25-SSA,EPISURG,0.29,R3
BraTS25-SSA,ISLES22,0.82,R3
BraTS25-SSA,IXI,0.83,R3
BraTS25-SSA,MS-60,0.21666666666666667,R3
BraTS25-SSA,MSLesSeg,0.55,R3
BraTS25-SSA,NFBS,0.0,R3
BraTS25-SSA,NSK-GBM,0.5,R3
BraTS25-SSA,OASIS-1,0.92,R3
BraTS25-SSA,OASIS-2,0.5647840531561462,R3
BraTS25-SSA,UMF-PD,0.7682926829268293,R3
BraTS25-SSA,UPENN-GBM,0.36,R3
BrainMetShare,3D-MR-MS,0.016666666666666666,R3
BrainMetShare,BGSP,0.9087136929460581,R3
BrainMetShare,BraTS25-MEN,0.29333333333333333,R3
BrainMetShare,BraTS25-MET,0.2866666666666667,R3
BrainMetShare,BraTS25-SSA,0.28,R3
BrainMetShare,BrainMetShare,0.8833333333333333,R3
BrainMetShare,EPISURG,0.03,R3
BrainMetShare,ISLES22,0.24,R3
BrainMetShare,IXI,0.385,R3
BrainMetShare,MS-60,0.37777777777777777,R3
BrainMetShare,MSLesSeg,0.2866666666666667,R3
BrainMetShare,NFBS,0.984,R3
BrainMetShare,NSK-GBM,0.30357142857142855,R3
BrainMetShare,OASIS-1,0.9033333333333333,R3
BrainMetShare,OASIS-2,0.2956810631229236,R3
BrainMetShare,UMF-PD,0.2804878048780488,R3
BrainMetShare,UPENN-GBM,0.25333333333333335,R3
MS-60,3D-MR-MS,0.25,R3
MS-60,BGSP,0.0,R3
MS-60,BraTS25-MEN,0.33,R3
MS-60,BraTS25-MET,0.39,R3
MS-60,BraTS25-SSA,0.31333333333333335,R3
MS-60,BrainMetShare,0.24,R3
MS-60,EPISURG,0.0,R3
MS-60,ISLES22,0.908,R3
MS-60,IXI,0.5,R3
MS-60,MS-60,0.8111111111111111,R3
MS-60,MSLesSeg,0.5633333333333334,R3
MS-60,NFBS,0.0,R3
MS-60,NSK-GBM,0.25,R3
MS-60,OASIS-1,0.0,R3
MS-60,OASIS-2,0.0,R3
MS-60,UMF-PD,0.0,R3
MS-60,UPENN-GBM,0.25,R3
MSLesSeg,3D-MR-MS,0.25833333333333336,R3
MSLesSeg,BGSP,0.0,R3
MSLesSeg,BraTS25-MEN,0.37666666666666665,R3
MSLesSeg,BraTS25-MET,0.4066666666666667,R3
MSLesSeg,BraTS25-SSA,0.35,R3
MSLesSeg,BrainMetShare,0.14666666666666667,R3
MSLesSeg,EPISURG,0.0033333333333333335,R3
