source,target,accuracy,representation
3D-MR-MS,3D-MR-MS,0.9666666666666667,handcrafted
3D-MR-MS,BGSP,0.0,handcrafted
3D-MR-MS,BraTS25-MEN,0.25,handcrafted
3D-MR-MS,BraTS25-MET,0.20666666666666667,handcrafted
3D-MR-MS,BraTS25-SSA,0.25,handcrafted
3D-MR-MS,BrainMetShare,0.0,handcrafted
3D-MR-MS,EPISURG,0.07,handcrafted
3D-MR-MS,ISLES22,0.0,handcrafted
3D-MR-MS,IXI,0.195,handcrafted
3D-MR-MS,MS-60,0.3277777777777778,handcrafted
3D-MR-MS,MSLesSeg,0.33,handcrafted
3D-MR-MS,NFBS,0.0,handcrafted
3D-MR-MS,NSK-GBM,0.25,handcrafted
3D-MR-MS,OASIS-1,0.0,handcrafted
3D-MR-MS,OASIS-2,0.0,handcrafted
3D-MR-MS,UMF-PD,0.04878048780487805,handcrafted
3D-MR-MS,UPENN-GBM,0.15666666666666668,handcrafted
BraTS25-MEN,3D-MR-MS,0.325,handcrafted
BraTS25-MEN,BGSP,0.0,handcrafted
BraTS25-MEN,BraTS25-MEN,0.7366666666666667,handcrafted
BraTS25-MEN,BraTS25-MET,0.6633333333333333,handcrafted
BraTS25-MEN,BraTS25-SSA,0.49,handcrafted
BraTS25-MEN,BrainMetShare,0.35,handcrafted
BraTS25-MEN,EPISURG,0.0,handcrafted
BraTS25-MEN,ISLES22,0.248,handcrafted
BraTS25-MEN,IXI,0.5,handcrafted
BraTS25-MEN,MS-60,0.38333333333333336,handcrafted
BraTS25-MEN,MSLesSeg,0.30333333333333334,handcrafted
BraTS25-MEN,NFBS,0.616,handcrafted
BraTS25-MEN,NSK-GBM,0.3273809523809524,handcrafted
BraTS25-MEN,OASIS-1,0.0,handcrafted
BraTS25-MEN,OASIS-2,0.0,handcrafted
BraTS25-MEN,UMF-PD,0.0,handcrafted
BraTS25-MEN,UPENN-GBM,0.25,handcrafted
BraTS25-MET,3D-MR-MS,0.275,handcrafted
BraTS25-MET,BGSP,0.0,handcrafted
BraTS25-MET,BraTS25-MEN,0.68,handcrafted
BraTS25-MET,BraTS25-MET,0.7566666666666667,handcrafted
BraTS25-MET,BraTS25-SSA,0.44666666666666666,handcrafted
BraTS25-MET,BrainMetShare,0.35,handcrafted
BraTS25-MET,EPISURG,0.0,handcrafted
BraTS25-MET,ISLES22,0.236,handcrafted
BraTS25-MET,IXI,0.555,handcrafted
BraTS25-MET,MS-60,0.3333333333333333,handcrafted
BraTS25-MET,MSLesSeg,0.32,handcrafted
BraTS25-MET,NFBS,0.488,handcrafted
BraTS25-MET,NSK-GBM,0.25595238095238093,handcrafted
BraTS25-MET,OASIS-1,0.006666666666666667,handcrafted
BraTS25-MET,OASIS-2,0.0,handcrafted
BraTS25-MET,UMF-PD,0.07317073170731707,handcrafted
BraTS25-MET,UPENN-GBM,0.25,handcrafted
BraTS25-SSA,3D-MR-MS,0.4583333333333333,handcrafted
BraTS25-SSA,BGSP,0.0,handcrafted
BraTS25-SSA,BraTS25-MEN,0.5566666666666666,handcrafted
BraTS25-SSA,BraTS25-MET,0.5166666666666667,handcrafted
BraTS25-SSA,BraTS25-SSA,0.79,handcrafted
BraTS25-SSA,BrainMetShare,0.43,handcrafted
BraTS25-SSA,EPISURG,0.02,handcrafted
BraTS25-SSA,ISLES22,0.908,handcrafted
BraTS25-SSA,IXI,0.49,handcrafted
BraTS25-SSA,MS-60,0.3888888888888889,handcrafted
BraTS25-SSA,MSLesSeg,0.42333333333333334,handcrafted
BraTS25-SSA,NFBS,0.0,handcrafted
BraTS25-SSA,NSK-GBM,0.5,handcrafted
BraTS25-SSA,OASIS-1,0.0,handcrafted
BraTS25-SSA,OASIS-2,0.0,handcrafted
BraTS25-SSA,UMF-PD,0.0,handcrafted
BraTS25-SSA,UPENN-GBM,0.26,handcrafted
BrainMetShare,3D-MR-MS,0.25,handcrafted
BrainMetShare,BGSP,0.0,handcrafted
BrainMetShare,BraTS25-MEN,0.30666666666666664,handcrafted
BrainMetShare,BraTS25-MET,0.30333333333333334,handcrafted
BrainMetShare,BraTS25-SSA,0.36,handcrafted
BrainMetShare,BrainMetShare,0.87,handcrafted
BrainMetShare,EPISURG,0.0,handcrafted
BrainMetShare,ISLES22,0.432,handcrafted
BrainMetShare,IXI,0.0,handcrafted
BrainMetShare,MS-60,0.35,handcrafted
BrainMetShare,MSLesSeg,0.19,handcrafted
BrainMetShare,NFBS,0.064,handcrafted
BrainMetShare,NSK-GBM,0.25,handcrafted
BrainMetShare,OASIS-1,0.0,handcrafted
BrainMetShare,OASIS-2,0.0,handcrafted
BrainMetShare,UMF-PD,0.0,handcrafted
BrainMetShare,UPENN-GBM,0.25,handcrafted
MS-60,3D-MR-MS,0.25,handcrafted
MS-60,BGSP,0.0,handcrafted
MS-60,BraTS25-MEN,0.21666666666666667,handcrafted
MS-60,BraTS25-MET,0.22666666666666666,handcrafted
MS-60,BraTS25-SSA,0.13333333333333333,handcrafted
MS-60,BrainMetShare,0.43,handcrafted
MS-60,EPISURG,0.5833333333333334,handcrafted
MS-60,ISLES22,0.024,handcrafted
MS-60,IXI,0.085,handcrafted
MS-60,MS-60,0.8611111111111112,handcrafted
MS-60,MSLesSeg,0.3566666666666667,handcrafted
MS-60,NFBS,0.0,handcrafted
MS-60,NSK-GBM,0.25,handcrafted
MS-60,OASIS-1,0.6266666666666667,handcrafted
MS-60,OASIS-2,0.0033222591362126247,handcrafted
MS-60,UMF-PD,0.0,handcrafted
MS-60,UPENN-GBM,0.25,handcrafted
MSLesSeg,3D-MR-MS,0.2833333333333333,handcrafted
MSLesSeg,BGSP,0.995850622406639,handcrafted
MSLesSeg,BraTS25-MEN,0.2633333333333333,handcrafted
MSLesSeg,BraTS25-MET,0.38,handcrafted
MSLesSeg,BraTS25-SSA,0.4,handcrafted
MSLesSeg,BrainMetShare,0.4033333333333333,handcrafted
MSLesSeg,EPISURG,1.0,handcrafted
MSLesSeg,ISLES22,0.168,handcrafted
MSLesSeg,IXI,0.48,handcrafted
MSLesSeg,MS-60,0.3277777777777778,handcrafted
MSLesSeg,MSLesSeg,0.9266666666666666,handcrafted
MSLesSeg,NFBS,0.04,handcrafted
MSLesSeg,NSK-GBM,0.25,handcrafted
MSLesSeg,OASIS-1,0.9933333333333333,handcrafted
MSLesSeg,OASIS-2,1.0,handcrafted
MSLesSeg,UMF-PD,1.0,handcrafted
MSLesSeg,UPENN-GBM,0.25,handcrafted
NSK-GBM,3D-MR-MS,0.1,handcrafted
NSK-GBM,BGSP,0.03319502074688797,handcrafted
NSK-GBM,BraTS25-MEN,0.25333333333333335,handcrafted
NSK-GBM,BraTS25-MET,0.28,handcrafted
NSK-GBM,BraTS25-SSA,0.25,handcrafted
NSK-GBM,BrainMetShare,0.4866666666666667,handcrafted
NSK-GBM,EPISURG,0.58,handcrafted
NSK-GBM,ISLES22,0.0,handcrafted
NSK-GBM,IXI,0.745,handcrafted
NSK-GBM,MS-60,0.42777777777777776,handcrafted
NSK-GBM,MSLesSeg,0.33,handcrafted
NSK-GBM,NFBS,1.0,handcrafted
NSK-GBM,NSK-GBM,0.9940476190476191,handcrafted
NSK-GBM,OASIS-1,0.9666666666666667,handcrafted
NSK-GBM,OASIS-2,0.0,handcrafted
NSK-GBM,UMF-PD,1.0,handcrafted
NSK-GBM,UPENN-GBM,0.27666666666666667,handcrafted
UPENN-GBM,3D-MR-MS,0.24166666666666667,handcrafted
UPENN-GBM,BGSP,1.0,handcrafted
UPENN-GBM,BraTS25-MEN,0.36,handcrafted
UPENN-GBM,BraTS25-MET,0.37,handcrafted
UPENN-GBM,BraTS25-SSA,0.4166666666666667,handcrafted
UPENN-GBM,BrainMetShare,0.18,handcrafted
UPENN-GBM,EPISURG,0.016666666666666666,handcrafted
UPENN-GBM,ISLES22,0.368,handcrafted
UPENN-GBM,IXI,0.425,handcrafted
UPENN-GBM,MS-60,0.2722222222222222,handcrafted
UPENN-GBM,MSLesSeg,0.15,handcrafted
UPENN-GBM,NFBS,0.0,handcrafted
UPENN-GBM,NSK-GBM,0.25,handcrafted
UPENN-GBM,OASIS-1,0.0,handcrafted
UPENN-GBM,OASIS-2,0.33222591362126247,handcrafted
UPENN-GBM,UMF-PD,0.036585365853658534,handcrafted
UPENN-GBM,UPENN-GBM,0.8733333333333333,handcrafted
3D-MR-MS,3D-MR-MS,1.0,untrained
3D-MR-MS,BGSP,0.004149377593360996,untrained
3D-MR-MS,BraTS25-MEN,0.25,untrained
3D-MR-MS,BraTS25-MET,0.25,untrained
3D-MR-MS,BraTS25-SSA,0.25,untrained
3D-MR-MS,BrainMetShare,0.25,untrained
3D-MR-MS,EPISURG,0.23333333333333334,untrained
3D-MR-MS,ISLES22,1.0,untrained
3D-MR-MS,IXI,0.555,untrained
3D-MR-MS,MS-60,0.027777777777777776,untrained
3D-MR-MS,MSLesSeg,0.32666666666666666,untrained
3D-MR-MS,NFBS,0.0,untrained
3D-MR-MS,NSK-GBM,0.39285714285714285,untrained
3D-MR-MS,OASIS-1,0.36333333333333334,untrained
3D-MR-MS,OASIS-2,0.0,untrained
3D-MR-MS,UMF-PD,0.9024390243902439,untrained
3D-MR-MS,UPENN-GBM,0.26,untrained
