representation,method,dims_removed,lodo_before,lodo_after,lodo_random_control,multi_before,multi_after,multi_random_control,dataset_bacc_before,dataset_bacc_after,note
medical,INLP,6.0,0.5332,0.3926,0.4744,0.4891,0.443,0.4505,0.902,0.8693,check (existing fit)
medical,LEACE,16.0,0.5332,0.4236,0.4035,,,,,0.2706,check (existing fit)
medical,CORAL,,0.5332,0.4083,0.2909,0.4891,0.4313,0.2932,0.902,0.2242,check (existing fit)
3dino,INLP,15.0,0.6926,0.6285,0.7245,0.6406,0.6281,0.6548,0.9313,0.7582,
3dino,LEACE,16.0,0.6926,0.6268,0.6038,,,,,0.2172,
3dino,CORAL,,0.6926,0.5833,0.3047,0.6406,0.6285,0.3313,0.9313,0.2013,
3dino,Adversarial (DANN),,0.6926,0.3847,0.5379,0.6406,0.3579,0.5127,0.9313,0.845,
sammed3d,INLP,5.0,0.7495,0.5598,0.7299,0.6692,0.6301,0.6836,0.8993,0.8569,
sammed3d,LEACE,16.0,0.7495,0.5528,0.6772,,,,,0.1988,
sammed3d,CORAL,,0.7495,0.5196,0.2877,0.6692,0.5825,0.3662,0.8993,0.1713,
sammed3d,Adversarial (DANN),,0.7495,0.4554,0.5542,0.6692,0.4628,0.5835,0.8993,0.7788,
