dataset,dataset_purity,dataset_chance,modality_purity,modality_chance,representation
3D-MR-MS,1.0,0.028797696184305256,0.8316666666666668,0.24400047996160307,R1
BGSP,1.0,0.057835373170146386,1.0,0.5113990880729542,R1
BraTS25-MEN,0.555,0.07199424046076314,0.6503333333333334,0.24400047996160307,R1
BraTS25-MET,0.5960000000000001,0.07199424046076314,0.5956666666666667,0.24400047996160307,R1
BraTS25-SSA,0.5856666666666667,0.07199424046076314,0.6193333333333333,0.24400047996160307,R1
BrainMetShare,0.9763333333333335,0.07199424046076314,0.626,0.33393328533717304,R1
EPISURG,0.8996666666666666,0.07199424046076314,0.943,0.5113990880729542,R1
ISLES22,0.9832,0.059995200383969285,0.9904,0.2056635469162467,R1
IXI,0.973,0.07199424046076314,0.8979999999999999,0.22902167826573872,R1
MS-60,1.0,0.04319654427645788,0.6433333333333333,0.28957683385329175,R1
MSLesSeg,0.9883333333333333,0.07199424046076314,0.7720000000000001,0.28957683385329175,R1
NFBS,0.9944,0.029997600191984643,0.9944,0.5113990880729542,R1
NSK-GBM,1.0,0.040316774658027354,0.9880952380952381,0.24400047996160307,R1
OASIS-1,0.9713333333333333,0.07199424046076314,1.0,0.5113990880729542,R1
OASIS-2,0.9910299003322257,0.07223422126229902,1.0,0.5113990880729542,R1
UMF-PD,0.9975609756097561,0.019678425725941924,0.9975609756097561,0.5113990880729542,R1
UPENN-GBM,0.9923333333333333,0.07199424046076314,0.6066666666666667,0.24400047996160307,R1
3D-MR-MS,1.0,0.028797696184305256,0.825,0.24400047996160307,R2
BGSP,0.9908713692946058,0.057835373170146386,0.9983402489626556,0.5113990880729542,R2
BraTS25-MEN,0.643,0.07199424046076314,0.7486666666666667,0.24400047996160307,R2
BraTS25-MET,0.5833333333333334,0.07199424046076314,0.751,0.24400047996160307,R2
BraTS25-SSA,0.7936666666666667,0.07199424046076314,0.6656666666666667,0.24400047996160307,R2
BrainMetShare,0.9893333333333334,0.07199424046076314,0.7323333333333333,0.33393328533717304,R2
EPISURG,0.9543333333333336,0.07199424046076314,0.9833333333333332,0.5113990880729542,R2
ISLES22,0.8684,0.059995200383969285,0.9472,0.2056635469162467,R2
